time_s,p_fault,fault_bin
0.2986,1.000000,1
0.3085,1.000000,1
0.3181,1.000000,1
0.3280,1.000000,1
0.3380,1.000000,1
0.3481,1.000000,1
0.3580,1.000000,1
0.3680,1.000000,1
0.3781,1.000000,1
0.3880,1.000000,1
0.3981,1.000000,1
0.4079,1.000000,1
0.4180,1.000000,1
0.4280,1.000000,1
0.4381,1.000000,1
0.4481,1.000000,1
0.4582,1.000000,1
0.4680,1.000000,1
0.4780,1.000000,1
0.4880,1.000000,1
0.4980,1.000000,1
0.5081,1.000000,1
0.5180,1.000000,1
0.5281,1.000000,1
0.5380,1.000000,1
0.5480,1.000000,1
0.5581,1.000000,1
0.5680,1.000000,1
0.5781,1.000000,1
0.5880,1.000000,1
0.5981,1.000000,1
0.6080,1.000000,1
0.6180,1.000000,1
0.6280,1.000000,1
0.6380,1.000000,1
0.6481,1.000000,1
0.6581,1.000000,1
0.6681,1.000000,1
0.6781,1.000000,1
0.6881,1.000000,1
0.6981,1.000000,1
0.7080,1.000000,1
0.7181,1.000000,1
0.7280,1.000000,1
0.7381,1.000000,1
0.7481,1.000000,1
0.7582,1.000000,1
0.7681,1.000000,1
0.7781,1.000000,1
0.7881,1.000000,1
