time_seconds,type,message
0.003,"telemetry","packetCounter: 54196 | sampleTimeFine: 12012189 | Roll: 179.04° Pitch: 0.30° Yaw: 176.85° | Acc: (-0.05, 0.17, -9.82) m/s² | Gyro: (-0.34, -0.54, 0.01) deg/s"
0.005,"telemetry","packetCounter: 54197 | sampleTimeFine: 12012289 | Roll: 179.04° Pitch: 0.31° Yaw: 176.85° | Acc: (-0.03, 0.17, -9.81) m/s² | Gyro: (-0.20, -0.79, -0.21) deg/s"
0.007,"telemetry","packetCounter: 54198 | sampleTimeFine: 12012389 | Roll: 179.04° Pitch: 0.31° Yaw: 176.85° | Acc: (-0.05, 0.17, -9.81) m/s² | Gyro: (-0.36, -0.61, -0.11) deg/s"
0.009,"telemetry","packetCounter: 54199 | sampleTimeFine: 12012489 | Roll: 179.04° Pitch: 0.31° Yaw: 176.84° | Acc: (-0.06, 0.17, -9.81) m/s² | Gyro: (-0.71, -0.59, 0.01) deg/s"
0.011,"telemetry","packetCounter: 54200 | sampleTimeFine: 12012589 | Roll: 179.04° Pitch: 0.31° Yaw: 176.85° | Acc: (-0.05, 0.17, -9.81) m/s² | Gyro: (-0.10, -0.32, -0.40) deg/s"
0.013,"telemetry","packetCounter: 54201 | sampleTimeFine: 12012689 | Roll: 179.04° Pitch: 0.31° Yaw: 176.85° | Acc: (-0.05, 0.17, -9.82) m/s² | Gyro: (-0.25, 0.44, -0.12) deg/s"
0.015,"telemetry","packetCounter: 54202 | sampleTimeFine: 12012789 | Roll: 179.04° Pitch: 0.30° Yaw: 176.85° | Acc: (-0.03, 0.18, -9.82) m/s² | Gyro: (-0.17, 0.04, -0.36) deg/s"
0.017,"telemetry","packetCounter: 54203 | sampleTimeFine: 12012889 | Roll: 179.04° Pitch: 0.30° Yaw: 176.85° | Acc: (-0.05, 0.17, -9.81) m/s² | Gyro: (-0.29, -0.10, -0.18) deg/s"
0.019,"telemetry","packetCounter: 54204 | sampleTimeFine: 12012989 | Roll: 179.04° Pitch: 0.30° Yaw: 176.85° | Acc: (-0.06, 0.16, -9.82) m/s² | Gyro: (-0.38, -0.19, 0.19) deg/s"
0.021,"telemetry","packetCounter: 54205 | sampleTimeFine: 12013089 | Roll: 179.04° Pitch: 0.30° Yaw: 176.84° | Acc: (-0.04, 0.16, -9.81) m/s² | Gyro: (-0.77, -0.19, 0.59) deg/s"
0.023,"telemetry","packetCounter: 54206 | sampleTimeFine: 12013189 | Roll: 179.04° Pitch: 0.30° Yaw: 176.83° | Acc: (-0.04, 0.17, -9.82) m/s² | Gyro: (-0.32, -0.04, -0.17) deg/s"
0.025,"telemetry","packetCounter: 54207 | sampleTimeFine: 12013289 | Roll: 179.04° Pitch: 0.30° Yaw: 176.83° | Acc: (-0.06, 0.17, -9.81) m/s² | Gyro: (-0.39, -0.59, -0.32) deg/s"
0.027,"telemetry","packetCounter: 54208 | sampleTimeFine: 12013389 | Roll: 179.04° Pitch: 0.30° Yaw: 176.83° | Acc: (-0.05, 0.17, -9.81) m/s² | Gyro: (-0.08, -0.11, -0.86) deg/s"
0.029,"telemetry","packetCounter: 54209 | sampleTimeFine: 12013489 | Roll: 179.04° Pitch: 0.30° Yaw: 176.83° | Acc: (-0.05, 0.16, -9.81) m/s² | Gyro: (-0.61, -0.16, -0.28) deg/s"
0.031,"telemetry","packetCounter: 54210 | sampleTimeFine: 12013589 | Roll: 179.04° Pitch: 0.30° Yaw: 176.83° | Acc: (-0.06, 0.17, -9.82) m/s² | Gyro: (-0.70, -0.30, -0.73) deg/s"
0.033,"telemetry","packetCounter: 54211 | sampleTimeFine: 12013689 | Roll: 179.03° Pitch: 0.30° Yaw: 176.82° | Acc: (-0.04, 0.17, -9.81) m/s² | Gyro: (-0.76, -0.41, -0.03) deg/s"
0.035,"telemetry","packetCounter: 54212 | sampleTimeFine: 12013789 | Roll: 179.03° Pitch: 0.30° Yaw: 176.82° | Acc: (-0.05, 0.16, -9.80) m/s² | Gyro: (-0.53, -0.75, -0.20) deg/s"
0.037,"telemetry","packetCounter: 54213 | sampleTimeFine: 12013889 | Roll: 179.03° Pitch: 0.31° Yaw: 176.82° | Acc: (-0.05, 0.16, -9.81) m/s² | Gyro: (-0.56, -0.50, -0.27) deg/s"
0.039,"telemetry","packetCounter: 54214 | sampleTimeFine: 12013989 | Roll: 179.02° Pitch: 0.31° Yaw: 176.82° | Acc: (-0.06, 0.17, -9.82) m/s² | Gyro: (-0.88, -0.40, -0.37) deg/s"
0.041,"telemetry","packetCounter: 54647 | sampleTimeFine: 12059399 | Acc: (-0.04, 0.13, -7.35) m/s² | Gyro: (-0.54, -0.38, -0.15) deg/s"
0.043,"telemetry","packetCounter: 54648 | sampleTimeFine: 12059499 | Roll: 179.01° Pitch: 0.31° Yaw: 180.00° | Acc: (-0.05, 0.18, -9.81) m/s² | Gyro: (-0.66, -0.33, -0.29) deg/s"
0.045,"telemetry","packetCounter: 54649 | sampleTimeFine: 12059599 | Roll: 179.01° Pitch: 0.30° Yaw: -180.00° | Acc: (-0.05, 0.18, -9.82) m/s² | Gyro: (-0.46, 0.04, -0.31) deg/s"
0.048,"telemetry","packetCounter: 54650 | sampleTimeFine: 12059699 | Roll: 179.00° Pitch: 0.30° Yaw: -180.00° | Acc: (-0.04, 0.17, -9.82) m/s² | Gyro: (-0.47, -0.01, -0.45) deg/s"
0.058,"telemetry","packetCounter: 54651 | sampleTimeFine: 12059799 | Roll: 179.00° Pitch: 0.31° Yaw: -179.99° | Acc: (-0.05, 0.16, -9.81) m/s² | Gyro: (-0.51, -0.45, -0.16) deg/s"
0.068,"telemetry","packetCounter: 54652 | sampleTimeFine: 12059899 | Roll: 178.99° Pitch: 0.31° Yaw: -179.99° | Acc: (-0.05, 0.16, -9.81) m/s² | Gyro: (-0.97, 0.02, -0.16) deg/s"
0.078,"telemetry","packetCounter: 54653 | sampleTimeFine: 12059999 | Roll: 178.98° Pitch: 0.31° Yaw: -179.99° | Acc: (-0.04, 0.17, -9.81) m/s² | Gyro: (-0.42, -0.51, 0.00) deg/s"
0.089,"telemetry","packetCounter: 54654 | sampleTimeFine: 12060099 | Roll: 178.98° Pitch: 0.32° Yaw: -179.99° | Acc: (-0.05, 0.17, -9.81) m/s² | Gyro: (0.03, -0.55, -0.01) deg/s"
0.099,"telemetry","packetCounter: 54655 | sampleTimeFine: 12060199 | Roll: 178.98° Pitch: 0.32° Yaw: -179.99° | Acc: (-0.05, 0.17, -9.82) m/s² | Gyro: (-0.18, -0.76, -0.08) deg/s"
0.109,"telemetry","packetCounter: 54656 | sampleTimeFine: 12060299 | Roll: 178.98° Pitch: 0.33° Yaw: -179.99° | Acc: (-0.06, 0.16, -9.80) m/s² | Gyro: (-0.70, -0.32, -0.47) deg/s"
