time_seconds,packet_counter,sample_time_fine,utc_time,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,free_acc_x,free_acc_y,free_acc_z,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x,mag_y,mag_z,lat,lon,altitude,vel_x,vel_y,vel_z,status_word,temperature,baropressure,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z
0.001682,62813,6334971,,178.19219971,0.64600861,-118.22920990,,,,,-0.07559543,0.31477642,-9.81740475,-0.02097501,-0.02882101,0.00703359,0.27835142,-0.13677243,0.02693744,-0.44370452,-0.01259924,0.99560875,,,,,,,3,,,,,,,,,
0.002956,62814,6335071,,178.19717407,0.64932674,-118.22296906,,,,,-0.08331893,0.31832227,-9.80290508,-0.02185982,-0.02030458,-0.00726271,0.12059325,-0.60451368,-0.56503295,-0.44557643,-0.01304772,0.99559230,,,,,,,3,,,,,,,,,
0.004130,62815,6335171,,178.19532776,0.64983839,-118.24076843,,,,,-0.08487973,0.32488936,-9.80319309,-0.02619613,-0.01621879,-0.00674868,-0.79107304,-0.38431690,-0.31943327,-0.44561973,-0.01256657,0.99461019,,,,,,,3,,,,,,,,,
0.005274,62816,6335271,,178.19578552,0.64586574,-118.26766205,,,,,-0.07185328,0.32740763,-9.81149578,-0.03432333,-0.02584621,0.00148320,-0.37380387,-0.03562375,-0.19333610,-0.44461095,-0.01162466,0.99710393,,,,,,,3,,,,,,,,,
0.006687,62817,6335371,,178.19493103,0.64423543,-118.27237701,,,,,-0.08034845,0.33182380,-9.81213093,-0.03420933,-0.01595653,0.00235152,-0.06047107,-0.15092018,-0.41420799,-0.44271249,-0.01261659,0.99709773,,,,,,,3,,,,,,,,,
0.007907,62818,6335471,,178.20103455,0.65432322,-118.23985291,,,,,-0.07442103,0.32700381,-9.80598927,-0.03464772,-0.02494033,-0.00401258,-0.03020608,-1.36563496,-0.13129212,-0.44320774,-0.01404757,0.99558830,,,,,,,3,,,,,,,,,
0.009055,62819,6335571,,178.19766235,0.65149277,-118.22784424,,,,,-0.08282029,0.32182127,-9.80665398,-0.02491891,-0.01919591,-0.00340891,-0.57952069,0.20526642,-0.10115147,-0.44368678,-0.01355952,0.99559367,,,,,,,3,,,,,,,,,
0.010198,62820,6335671,,178.19668579,0.65393668,-118.21925354,,,,,-0.08003851,0.31856406,-9.80943775,-0.02356888,-0.02404987,-0.00076652,-0.42648651,-0.52770468,-0.26128747,-0.44409639,-0.01403326,0.99706841,,,,,,,3,,,,,,,,,
0.011317,62821,6335771,,178.19862366,0.65422618,-118.20932007,,,,,-0.08311233,0.32599711,-9.80527878,-0.02905238,-0.01762225,-0.00465441,-0.29849509,-0.41703283,-0.17552750,-0.44555920,-0.01304823,0.99608713,,,,,,,3,,,,,,,,,
0.012413,62822,6335871,,178.19667053,0.65361261,-118.22924805,,,,,-0.08438764,0.33010367,-9.79939079,-0.03165918,-0.01440732,-0.01039147,-0.66630608,-0.18805036,-0.38920736,-0.44653451,-0.01207161,0.99560291,,,,,,,3,,,,,,,,,
0.013602,62823,6335971,,178.19526672,0.65238678,-118.26738739,,,,,-0.07908751,0.32457265,-9.80597878,-0.02926676,-0.02182602,-0.00404382,-0.23558219,-0.45712754,-0.13389679,-0.44373164,-0.01019906,0.99614137,,,,,,,3,,,,,,,,,
