time_seconds,total,rms_x,rms_y,rms_z,baseline_total,baseline_x,baseline_y,baseline_z,d2,ewma_d2,p_fault,decision
0.004,0.831173,0.325665,0.571104,0.508558,0.754162,0.233522,0.535344,0.437750,5.4909,0.2745,0.0086,NORMAL
0.004,0.767712,0.326057,0.472473,0.509743,0.755312,0.241375,0.530009,0.443859,4.4003,0.4808,0.0247,NORMAL
0.004,0.759240,0.323627,0.448986,0.519733,0.755622,0.247879,0.523602,0.449859,3.7234,0.6430,0.0418,NORMAL
0.005,0.746011,0.312282,0.443416,0.512246,0.754910,0.252654,0.517657,0.454484,2.5776,0.7397,0.0537,NORMAL
0.005,0.742154,0.305429,0.443957,0.510302,0.754018,0.256342,0.512506,0.458385,1.9042,0.7979,0.0613,NORMAL
0.005,0.735938,0.301546,0.435349,0.511024,0.752822,0.259335,0.507399,0.461870,1.5404,0.8351,0.0663,NORMAL
0.005,0.712924,0.301526,0.407594,0.501209,0.750309,0.261991,0.501115,0.464347,1.5919,0.8729,0.0716,NORMAL
0.005,0.712056,0.300133,0.402178,0.505170,0.748010,0.264284,0.495167,0.466801,1.4123,0.8999,0.0754,NORMAL
0.005,0.694182,0.296994,0.400158,0.483277,0.744909,0.266168,0.489695,0.467750,1.1919,0.9145,0.0775,NORMAL
0.006,0.687493,0.297303,0.405120,0.469185,0.741731,0.267892,0.485013,0.467829,1.0594,0.9217,0.0786,NORMAL
0.006,0.678793,0.280260,0.406812,0.465530,0.738373,0.268551,0.480841,0.467707,0.5049,0.9009,0.0756,NORMAL
0.006,0.671778,0.277802,0.391792,0.469692,0.734941,0.269028,0.476251,0.467809,0.5046,0.8811,0.0727,NORMAL
0.006,0.659114,0.260069,0.382485,0.469574,0.731155,0.268581,0.471570,0.467897,0.2942,0.8517,0.0686,NORMAL
0.006,0.636691,0.251041,0.359704,0.461484,0.726578,0.267731,0.466149,0.467586,0.4526,0.8318,0.0659,NORMAL
0.006,0.639926,0.248544,0.365584,0.462687,0.722494,0.266827,0.461410,0.467355,0.3347,0.8069,0.0625,NORMAL
0.006,0.615930,0.234006,0.364917,0.437546,0.717601,0.265320,0.456980,0.465987,0.4647,0.7898,0.0602,NORMAL
0.007,0.607360,0.233617,0.358274,0.431218,0.712661,0.263899,0.452556,0.464429,0.5058,0.7756,0.0583,NORMAL
0.007,0.602523,0.224902,0.358007,0.429284,0.707836,0.262191,0.448414,0.462889,0.5581,0.7647,0.0569,NORMAL
0.007,0.609605,0.225168,0.368148,0.430564,0.703624,0.260603,0.444972,0.461503,0.4636,0.7497,0.0549,NORMAL
0.007,0.605362,0.220926,0.360684,0.433084,0.699493,0.258935,0.441429,0.460308,0.4934,0.7369,0.0533,NORMAL
0.007,0.586765,0.223179,0.347796,0.416560,0.694841,0.257460,0.437565,0.458503,0.5890,0.7295,0.0524,NORMAL
0.007,0.585375,0.220911,0.350427,0.413598,0.690402,0.255978,0.434032,0.456682,0.5684,0.7214,0.0513,NORMAL
0.007,0.562960,0.216751,0.337491,0.395022,0.685318,0.254413,0.430180,0.454222,0.8037,0.7255,0.0519,NORMAL
0.007,0.556749,0.217674,0.326113,0.395269,0.680267,0.252969,0.426092,0.451906,0.8459,0.7315,0.0526,NORMAL
0.008,0.557736,0.220026,0.321267,0.399306,0.675522,0.251694,0.422033,0.449869,0.7984,0.7349,0.0530,NORMAL
0.008,0.546068,0.216716,0.310990,0.393077,0.670576,0.250357,0.417790,0.447699,0.9486,0.7456,0.0544,NORMAL
0.008,0.516786,0.207702,0.307315,0.359840,0.664774,0.248748,0.413622,0.444384,1.3086,0.7737,0.0581,NORMAL
0.008,0.519088,0.205469,0.308780,0.363167,0.659342,0.247134,0.409713,0.441356,1.1782,0.7939,0.0607,NORMAL
0.008,0.530465,0.206611,0.308797,0.378614,0.654590,0.245640,0.405992,0.439043,0.9357,0.8010,0.0617,NORMAL
0.008,0.524826,0.206838,0.300117,0.377612,0.649855,0.244224,0.402128,0.436801,0.9916,0.8106,0.0630,NORMAL
