time_s,label,confidence,p_fault
18.4030,normal,0.999479,0.000521
18.5035,normal,1.000000,0.000000
18.6033,normal,1.000000,0.000000
18.7035,normal,0.999994,0.000006
18.8035,normal,1.000000,0.000000
18.9031,normal,1.000000,0.000000
19.0032,normal,1.000000,0.000000
19.1029,normal,1.000000,0.000000
19.2033,normal,0.999996,0.000004
19.3030,normal,0.999998,0.000002
19.4030,normal,0.999973,0.000027
19.5032,normal,1.000000,0.000000
19.6035,normal,1.000000,0.000000
19.7033,normal,1.000000,0.000000
19.8031,normal,0.999997,0.000003
19.9030,normal,1.000000,0.000000
20.0038,normal,0.999998,0.000002
20.1033,normal,1.000000,0.000000
20.2033,normal,0.999999,0.000001
20.3041,normal,1.000000,0.000000
20.4030,normal,1.000000,0.000000
20.5032,normal,1.000000,0.000000
20.6035,normal,1.000000,0.000000
20.7033,normal,1.000000,0.000000
20.8033,normal,0.999849,0.000151
20.9036,normal,0.999942,0.000058
21.0035,normal,0.999743,0.000257
21.1033,normal,0.999168,0.000832
21.2034,normal,0.996455,0.003545
21.3037,normal,0.996458,0.003542
21.4034,normal,0.997999,0.002001
21.5034,normal,0.999999,0.000001
21.6034,normal,0.999997,0.000003
21.7039,normal,0.999998,0.000002
21.8033,normal,1.000000,0.000000
21.9037,normal,0.999999,0.000001
22.0032,normal,0.998697,0.001303
22.1034,normal,0.991505,0.008495
22.2036,normal,0.999999,0.000001
22.3033,normal,0.999999,0.000001
22.4037,normal,1.000000,0.000000
22.5037,normal,1.000000,0.000000
22.6038,normal,0.999982,0.000018
22.7039,normal,0.999999,0.000001
22.8037,normal,0.999975,0.000025
22.9037,normal,0.999977,0.000023
23.0044,normal,0.999998,0.000002
23.1034,normal,0.999982,0.000018
23.2040,normal,0.997142,0.002858
23.3039,normal,0.999998,0.000002
23.4042,normal,0.999987,0.000013
23.5038,normal,0.999999,0.000001
23.6037,normal,0.999806,0.000194
23.7037,normal,0.998404,0.001596
23.8038,normal,0.998821,0.001179
23.9046,normal,0.999921,0.000079
24.0034,normal,0.999914,0.000086
24.1035,normal,0.999999,0.000001
24.2089,normal,0.999997,0.000003
24.3035,normal,1.000000,0.000000
24.4041,normal,0.999999,0.000001
24.5038,normal,0.999998,0.000002
24.6037,normal,0.999591,0.000409
24.7041,normal,0.999910,0.000090
24.8037,normal,0.999929,0.000071
24.9044,normal,0.999994,0.000006
25.0045,normal,0.999989,0.000011
25.1037,normal,1.000000,0.000000
25.2036,normal,0.999998,0.000002
25.3042,normal,0.999926,0.000074
25.4056,normal,0.999440,0.000560
25.5036,normal,0.999994,0.000006
25.6035,normal,0.999845,0.000155
25.7038,normal,0.999990,0.000010
25.8040,normal,0.999975,0.000025
25.9040,normal,0.999812,0.000188
26.0044,normal,0.999991,0.000009
26.1036,normal,0.999998,0.000002
26.2038,normal,0.999999,0.000001
26.3040,normal,0.999974,0.000026
26.4048,normal,1.000000,0.000000
26.5025,normal,0.999999,0.000001
26.6031,normal,1.000000,0.000000
26.7027,normal,0.999955,0.000045
26.8029,normal,1.000000,0.000000
26.9027,normal,1.000000,0.000000
27.0026,normal,1.000000,0.000000
27.1028,normal,0.999997,0.000003
27.2029,normal,0.999998,0.000002
27.3030,normal,0.999996,0.000004
27.4029,normal,0.999964,0.000036
27.5032,normal,0.999976,0.000024
27.6027,normal,0.999981,0.000019
27.7028,normal,1.000000,0.000000
27.8030,normal,1.000000,0.000000
27.9027,normal,1.000000,0.000000
28.0029,normal,0.999999,0.000001
28.1028,normal,0.999738,0.000262
28.2030,normal,0.999982,0.000018
28.3035,normal,0.999967,0.000033
28.4028,normal,0.999999,0.000001
28.5031,normal,1.000000,0.000000
28.6031,normal,1.000000,0.000000
28.7030,normal,0.999909,0.000091
28.8034,normal,0.999998,0.000002
28.9028,normal,0.999987,0.000013
29.0033,normal,0.999746,0.000254
29.1026,normal,0.998079,0.001921
29.2033,normal,0.999958,0.000042
29.3033,normal,0.976675,0.023325
29.4034,normal,0.999783,0.000217
29.5031,normal,0.999829,0.000171
29.6031,normal,0.998727,0.001273
29.7034,normal,0.999250,0.000750
29.8032,normal,1.000000,0.000000
29.9031,normal,0.999998,0.000002
30.0031,normal,0.999983,0.000017
30.1029,normal,0.999963,0.000037
30.2044,normal,0.946732,0.053268
30.3030,normal,0.997956,0.002044
30.4036,normal,0.999974,0.000026
30.5033,normal,0.999955,0.000045
30.6031,normal,0.995973,0.004027
30.7037,normal,0.999997,0.000003
30.8033,normal,0.999994,0.000006
30.9037,normal,0.999938,0.000062
31.0037,fault,1.000000,1.000000
31.1031,fault,1.000000,1.000000
31.2031,fault,1.000000,1.000000
31.3033,fault,1.000000,1.000000
31.4031,fault,1.000000,1.000000
31.5032,fault,0.999999,0.999999
31.6031,fault,1.000000,1.000000
31.7035,fault,1.000000,1.000000
31.8032,fault,1.000000,1.000000
31.9039,fault,0.999994,0.999994
32.0035,normal,0.983284,0.016716
32.1032,normal,0.999468,0.000532
32.2032,normal,0.998365,0.001635
32.3033,normal,0.999992,0.000008
32.4033,normal,0.999998,0.000002
32.5037,normal,0.997651,0.002349
32.6031,normal,0.999924,0.000076
32.7036,normal,0.999999,0.000001
32.8037,normal,0.998533,0.001467
32.9038,normal,0.999970,0.000030
33.0033,normal,0.999006,0.000994
33.1031,normal,0.999406,0.000594
33.2037,normal,0.999962,0.000038
33.3041,normal,0.999993,0.000007
33.4034,normal,0.999714,0.000286
33.5034,normal,0.998992,0.001008
33.6032,normal,0.994822,0.005178
33.7036,fault,1.000000,1.000000
33.8037,fault,1.000000,1.000000
33.9040,fault,1.000000,1.000000
34.0043,fault,1.000000,1.000000
34.1034,fault,1.000000,1.000000
34.2084,fault,1.000000,1.000000
34.3036,fault,1.000000,1.000000
34.4077,fault,1.000000,1.000000
34.5043,fault,1.000000,1.000000
34.6034,fault,1.000000,1.000000
34.7038,fault,1.000000,1.000000
34.8036,fault,1.000000,1.000000
34.9033,fault,1.000000,1.000000
35.0037,fault,1.000000,1.000000
35.1035,fault,1.000000,1.000000
35.2039,fault,1.000000,1.000000
35.3041,fault,1.000000,1.000000
35.4044,fault,1.000000,1.000000
35.5030,fault,1.000000,1.000000
35.6026,fault,1.000000,1.000000
35.7038,fault,1.000000,1.000000
35.8027,fault,1.000000,1.000000
35.9038,fault,1.000000,1.000000
36.0029,fault,1.000000,1.000000
36.1025,fault,1.000000,1.000000
36.2028,fault,1.000000,1.000000
36.3028,fault,1.000000,1.000000
36.4037,fault,1.000000,1.000000
36.5030,fault,1.000000,1.000000
36.6024,fault,1.000000,1.000000
36.7026,fault,1.000000,1.000000
36.8031,fault,0.680401,0.680401
36.9039,normal,0.998560,0.001440
37.0029,normal,1.000000,0.000000
37.1026,normal,0.707687,0.292313
37.2030,fault,0.999442,0.999442
37.3027,fault,0.995968,0.995968
37.4051,fault,0.963580,0.963580
37.5028,fault,0.584106,0.584106
37.6026,normal,0.545866,0.454134
37.7027,normal,0.994573,0.005427
37.8030,normal,0.997000,0.003000
37.9029,normal,0.954625,0.045375
38.0030,normal,0.746495,0.253505
