time_seconds,packet_counter,sample_time_fine,utc_time,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,free_acc_x,free_acc_y,free_acc_z,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x,mag_y,mag_z,lat,lon,altitude,vel_x,vel_y,vel_z,status_word,temperature,baropressure,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z
0.000485,7657,20519818,,178.47669983,0.37473372,136.81280518,,,,,-0.05460475,0.20166676,-9.81213570,-0.04789286,-0.03663137,-0.00146770,-0.18211072,0.02751665,0.07675042,0.11433432,0.26310781,1.03047955,,,,,,,3,,,,,,,,,
0.000871,7658,20519918,,178.47946167,0.37959787,136.82392883,,,,,-0.04338440,0.21483837,-9.81589890,-0.04748902,-0.01833169,0.00257063,-0.04793845,-0.71924645,-0.80049230,0.11484732,0.26357853,1.03197384,,,,,,,3,,,,,,,,,
0.001218,7659,20520018,,178.48156738,0.38070711,136.82772827,,,,,-0.05092863,0.20917912,-9.80523014,-0.04545444,-0.02714551,-0.00819492,-0.10081181,-0.44452637,-0.28711514,0.11722435,0.26305830,1.03247225,,,,,,,3,,,,,,,,,
0.001560,7660,20520118,,178.48200989,0.37956890,136.83261108,,,,,-0.05794478,0.22237687,-9.81752968,-0.03134136,-0.02289078,0.00449824,-0.40224427,-0.03110586,-0.60367464,0.11680584,0.26306468,1.03395462,,,,,,,3,,,,,,,,,
0.001908,7661,20520218,,178.48025513,0.37668476,136.83929443,,,,,-0.05951937,0.21967103,-9.81546783,-0.03196664,-0.02632510,0.00237679,-0.48994921,-0.17167017,-0.53959711,0.11584774,0.26404083,1.03396523,,,,,,,3,,,,,,,,,
0.002252,7662,20520318,,178.48062134,0.37522095,136.84001160,,,,,-0.05643784,0.20859158,-9.80245399,-0.04110422,-0.03241064,-0.01094675,-0.40503259,0.01952875,0.23409641,0.11634505,0.26163271,1.03343487,,,,,,,3,,,,,,,,,
0.002589,7663,20520418,,178.48225403,0.37570724,136.83891296,,,,,-0.05598235,0.21404859,-9.81207180,-0.03787477,-0.02765314,-0.00118756,-0.11134854,-0.41508580,-0.13726606,0.11534514,0.26021066,1.03093350,,,,,,,3,,,,,,,,,
0.002933,7664,20520518,,178.48455811,0.38123196,136.83703613,,,,,-0.05130844,0.21751644,-9.81482887,-0.03969083,-0.02087849,0.00162959,-0.17971827,-1.04807214,0.25331555,0.11443871,0.26118523,1.03242862,,,,,,,3,,,,,,,,,
0.003272,7665,20520618,,178.48225403,0.37892807,136.84022522,,,,,-0.05396803,0.21691634,-9.80655670,-0.03755646,-0.02386356,-0.00664186,-0.34381523,-0.07360555,-0.30074209,0.11685804,0.26210341,1.03492916,,,,,,,3,,,,,,,,,
0.003615,7666,20520718,,178.48425293,0.37909645,136.84223938,,,,,-0.06411560,0.19938399,-9.81004333,-0.04237478,-0.04329342,-0.00355172,-0.35309194,-0.57602368,-0.36298475,0.11686692,0.26162326,1.03492153,,,,,,,3,,,,,,,,,
