time_seconds,packet_counter,sample_time_fine,utc_time,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,free_acc_x,free_acc_y,free_acc_z,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x,mag_y,mag_z,lat,lon,altitude,vel_x,vel_y,vel_z,status_word,temperature,baropressure,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z
0.001361,32092,9802011,,179.22561646,1.24416661,-174.16894531,,,,,-0.10029429,-0.00354490,-9.81395054,-0.09866532,-0.14754313,-0.00278354,-0.72127038,-0.47611194,-0.60429309,-0.07822995,0.35227415,1.01509297,,,,,,,3,,,,,,,,,
0.002485,32093,9802111,,179.22161865,1.24694788,-174.17298889,,,,,-0.09715489,-0.00540862,-9.81947613,-0.10193008,-0.15054423,0.00263286,-0.90876809,-0.32058491,0.11674291,-0.07732505,0.35417888,1.01512766,,,,,,,3,,,,,,,,,
0.003557,32094,9802211,,179.22320557,1.25217235,-174.18844604,,,,,-0.09727126,-0.00330456,-9.81257915,-0.10299958,-0.14795136,-0.00423837,-0.40630960,-0.60812392,0.07811545,-0.07777852,0.35514605,1.01613021,,,,,,,3,,,,,,,,,
0.004626,32095,9802311,,179.22706604,1.25000918,-174.19792175,,,,,-0.08850408,-0.00087094,-9.81157207,-0.11137183,-0.14604607,-0.00539184,-0.75479449,0.06746641,-0.66251320,-0.07829152,0.35467535,1.01463592,,,,,,,3,,,,,,,,,
0.005775,32096,9802411,,179.22398376,1.25364220,-174.20666504,,,,,-0.10442336,0.00928435,-9.82007408,-0.09725706,-0.13494676,0.00358343,-0.99128979,-0.12821766,0.13138242,-0.07691542,0.35465261,1.01365292,,,,,,,3,,,,,,,,,
0.006864,32097,9802511,,179.23178101,1.25568306,-174.22938538,,,,,-0.10001037,-0.00629865,-9.81086349,-0.10061403,-0.14944851,-0.00592232,-0.45843648,-0.28500560,0.16804692,-0.07777017,0.35562569,1.01663268,,,,,,,3,,,,,,,,,
0.007940,32098,9802611,,179.23817444,1.25459814,-174.24177551,,,,,-0.09862917,0.00524389,-9.80875206,-0.10270964,-0.13651890,-0.00788164,-0.08928892,0.34044003,-0.32635287,-0.08063409,0.35519457,1.01512718,,,,,,,3,,,,,,,,,
0.009013,32099,9802711,,179.24435425,1.25302756,-174.24169922,,,,,-0.09193179,-0.00919127,-9.81606770,-0.10862246,-0.15106454,-0.00090384,-0.57892251,-0.51415914,-0.42199329,-0.08112202,0.35616273,1.01514006,,,,,,,3,,,,,,,,,
0.010079,32100,9802811,,179.25289917,1.24637985,-174.24256897,,,,,-0.09705435,-0.00008902,-9.81291103,-0.10319642,-0.13964395,-0.00378704,-0.21156495,-0.00343318,-0.23596209,-0.08062675,0.35759374,1.01664948,,,,,,,3,,,,,,,,,
0.011170,32101,9802911,,179.26492310,1.24208558,-174.24946594,,,,,-0.09243872,0.00228693,-9.80844307,-0.10753747,-0.13562573,-0.00829411,-0.12142832,-0.26300188,-0.26512065,-0.07912068,0.35612753,1.01861286,,,,,,,3,,,,,,,,,
0.012279,32102,9803011,,179.27041626,1.24326873,-174.25672913,,,,,-0.08781900,-0.00309172,-9.81812096,-0.11192023,-0.14085031,0.00122142,-0.69664354,-0.34700459,-0.31010412,-0.07868546,0.35708043,1.01813531,,,,,,,3,,,,,,,,,
0.013219,32103,9803111,,179.27703857,1.24631488,-174.27229309,,,,,-0.08591761,-0.00394422,-9.81400108,-0.11398559,-0.14069135,-0.00293756,-0.63875524,-0.06098961,-0.30448439,-0.08156662,0.35664979,1.01613510,,,,,,,3,,,,,,,,,
0.014176,32104,9803211,,179.28282166,1.24212897,-174.26977539,,,,,-0.10551620,0.00008968,-9.82011223,-0.09525805,-0.13382989,0.00366092,-0.67989549,-0.69530109,-0.71934651,-0.08157395,0.35425061,1.01461279,,,,,,,3,,,,,,,,,
0.015119,32105,9803311,,179.28363037,1.23852336,-174.26498413,,,,,-0.09953276,0.00322841,-9.80979252,-0.10019249,-0.13084587,-0.00672889,-0.84778864,-0.11697315,0.04161878,-0.07918857,0.35421002,1.01561356,,,,,,,3,,,,,,,,,
0.015799,32106,9803411,,179.28472900,1.23729610,-174.27693176,,,,,-0.09905050,-0.00824515,-9.80021095,-0.09897269,-0.14148813,-0.01644993,-0.32170212,0.03326501,-0.00783131,-0.07632566,0.35656071,1.01813900,,,,,,,3,,,,,,,,,
0.016458,32107,9803511,,179.29132080,1.23925972,-174.29838562,,,,,-0.09321132,0.00769159,-9.80979633,-0.10702597,-0.12573741,-0.00679111,-0.64409719,-0.14708547,-0.40349006,-0.07825024,0.35803327,1.01765788,,,,,,,3,,,,,,,,,
0.017153,32108,9803611,,179.29959106,1.24202716,-174.32101440,,,,,-0.09405012,-0.00388474,-9.81535149,-0.10591961,-0.13589109,-0.00135136,-0.59509917,-0.31194117,-0.26301623,-0.08069515,0.35663599,1.01416016,,,,,,,3,,,,,,,,,
0.017931,32109,9803711,,179.30990601,1.23950434,-174.33259583,,,,,-0.09613464,-0.00086076,-9.80672550,-0.10397498,-0.13066846,-0.00986838,-0.39450836,-0.30496979,0.07408010,-0.08258323,0.35426846,1.01262891,,,,,,,3,,,,,,,,,
0.018535,32110,9803811,,179.31314087,1.23452449,-174.32728577,,,,,-0.09120128,0.00859732,-9.81530190,-0.10953099,-0.12098378,-0.00127006,-0.42240011,-0.53861741,-0.22642541,-0.07927625,0.35709187,1.01466930,,,,,,,3,,,,,,,,,
0.019008,32111,9803911,,179.32597351,1.23698235,-174.33975220,,,,,-0.09411971,0.01053668,-9.82285404,-0.10711962,-0.11714323,0.00638461,-0.51048375,-0.37179124,-0.53631915,-0.07827582,0.35755417,1.01666069,,,,,,,3,,,,,,,,,
0.019704,32112,9804011,,179.33421326,1.24241579,-174.36520386,,,,,-0.08176358,0.00509378,-9.82429886,-0.11987904,-0.12217486,0.00750470,-0.44871115,-0.32990814,-0.16902117,-0.08018114,0.35518715,1.01463461,,,,,,,3,,,,,,,,,
0.020328,32387,9833561,,,,,,,,,-0.07362332,0.01137445,-7.35989952,,,,-0.33389951,-0.38929936,-0.54145706,-0.07705776,0.35369116,1.02254283,,,,,,,1,,,,,,,,,
