time_seconds,packet_counter,sample_time_fine,utc_time,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,free_acc_x,free_acc_y,free_acc_z,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x,mag_y,mag_z,lat,lon,altitude,vel_x,vel_y,vel_z,status_word,temperature,baropressure,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z
0.001610,17371,1763707,,-178.84822083,4.87311888,-177.23216248,,,,,-0.00497045,0.21659803,-9.82483864,-0.84821242,0.37291509,-0.03219366,-0.37691097,0.39463187,-0.61056235,-0.07249289,0.33586058,1.00892484,,,,,,,3,,,,,,,,,
0.002750,17372,1763807,,-178.84313965,4.86524391,-177.22398376,,,,,-0.00646890,0.22186224,-9.81655598,-0.84525555,0.37924743,-0.04037905,-0.09940075,0.00494877,-0.35568098,-0.07158749,0.33680555,1.00844955,,,,,,,3,,,,,,,,,
0.003916,17373,1763907,,-178.84020996,4.86299086,-177.21427917,,,,,-0.00915710,0.19787401,-9.80494595,-0.84018880,0.35524189,-0.05121398,-0.64004860,-0.31793813,-0.80470738,-0.07109070,0.33535722,1.00842905,,,,,,,3,,,,,,,,,
0.005448,17374,1764007,,-178.84356689,4.86734200,-177.21261597,,,,,-0.00719323,0.21652952,-9.81691456,-0.84456021,0.37364423,-0.03986478,-0.57223816,-0.39417056,0.35652064,-0.07299754,0.33586952,1.00793290,,,,,,,3,,,,,,,,,
0.006536,17375,1764107,,-178.83811951,4.85753775,-177.21466064,,,,,-0.00090119,0.21606144,-9.81522751,-0.84935015,0.37386435,-0.04199386,-0.12418388,-0.07257059,0.25988774,-0.07338995,0.33539528,1.00990248,,,,,,,3,,,,,,,,,
0.007628,17376,1764207,,-178.83728027,4.84474516,-177.21206665,,,,,-0.01076398,0.21609581,-9.81620884,-0.83753943,0.37465933,-0.04001284,-0.30588007,-0.00122515,-0.55051485,-0.07144864,0.33488196,1.01138830,,,,,,,3,,,,,,,,,
0.008706,17377,1764307,,-178.83992004,4.83982277,-177.20730591,,,,,-0.01222298,0.20873459,-9.80694771,-0.83367032,0.36708233,-0.04885101,-0.12458757,0.14008771,-0.13414138,-0.07203993,0.33585316,1.00843215,,,,,,,3,,,,,,,,,
0.009785,17378,1764407,,-178.83711243,4.83353710,-177.19857788,,,,,-0.00747396,0.21517678,-9.81209755,-0.83836913,0.37298983,-0.04417062,-0.77031498,-0.09545698,-0.45775117,-0.07211822,0.33729509,1.00697029,,,,,,,3,,,,,,,,,
0.010916,17379,1764507,,-178.82792664,4.83015347,-177.19560242,,,,,-0.01325711,0.21921314,-9.81550884,-0.83249152,0.37913561,-0.04038477,-0.17566210,-0.08772494,-0.07078128,-0.07208377,0.33729407,1.00795996,,,,,,,3,,,,,,,,,
0.012086,17380,1764607,,-178.81593323,4.82941246,-177.18930054,,,,,-0.01328509,0.20985252,-9.81211567,-0.83186495,0.37162110,-0.04365730,-0.13210432,-0.36914937,-0.38823518,-0.07209162,0.33585468,1.00694764,,,,,,,3,,,,,,,,,
