time_seconds,type,message
0.003,"telemetry","packetCounter: 9857 | sampleTimeFine: 7568004 | Roll: 176.89° Pitch: 7.73° Yaw: -149.79° | Acc: (-1.33, 0.47, -9.71) m/s² | Gyro: (-0.46, -0.21, -0.21) deg/s"
0.005,"telemetry","packetCounter: 9858 | sampleTimeFine: 7568104 | Roll: 176.89° Pitch: 7.73° Yaw: -149.79° | Acc: (-1.34, 0.47, -9.71) m/s² | Gyro: (-0.01, -0.18, -0.11) deg/s"
0.006,"telemetry","packetCounter: 9859 | sampleTimeFine: 7568204 | Roll: 176.89° Pitch: 7.73° Yaw: -149.79° | Acc: (-1.34, 0.48, -9.71) m/s² | Gyro: (-0.33, -0.29, -0.52) deg/s"
0.009,"telemetry","packetCounter: 9860 | sampleTimeFine: 7568304 | Roll: 176.90° Pitch: 7.72° Yaw: -149.79° | Acc: (-1.33, 0.48, -9.71) m/s² | Gyro: (-0.17, 0.02, -0.62) deg/s"
0.011,"telemetry","packetCounter: 9861 | sampleTimeFine: 7568404 | Roll: 176.90° Pitch: 7.72° Yaw: -149.80° | Acc: (-1.34, 0.46, -9.70) m/s² | Gyro: (-0.40, -0.28, 0.28) deg/s"
0.013,"telemetry","packetCounter: 9862 | sampleTimeFine: 7568504 | Roll: 176.90° Pitch: 7.72° Yaw: -149.81° | Acc: (-1.32, 0.48, -9.72) m/s² | Gyro: (-0.25, -0.34, -0.35) deg/s"
0.015,"telemetry","packetCounter: 9863 | sampleTimeFine: 7568604 | Roll: 176.90° Pitch: 7.73° Yaw: -149.82° | Acc: (-1.32, 0.48, -9.72) m/s² | Gyro: (-0.05, -0.23, 0.43) deg/s"
0.017,"telemetry","packetCounter: 9864 | sampleTimeFine: 7568704 | Roll: 176.90° Pitch: 7.72° Yaw: -149.82° | Acc: (-1.32, 0.47, -9.72) m/s² | Gyro: (-0.36, -0.19, -0.46) deg/s"
0.019,"telemetry","packetCounter: 9865 | sampleTimeFine: 7568804 | Roll: 176.90° Pitch: 7.73° Yaw: -149.81° | Acc: (-1.33, 0.47, -9.72) m/s² | Gyro: (-0.35, -0.52, -0.36) deg/s"
0.020,"telemetry","packetCounter: 9866 | sampleTimeFine: 7568904 | Roll: 176.90° Pitch: 7.72° Yaw: -149.81° | Acc: (-1.33, 0.47, -9.71) m/s² | Gyro: (-0.26, 0.08, -0.10) deg/s"
0.022,"telemetry","packetCounter: 9867 | sampleTimeFine: 7569004 | Roll: 176.90° Pitch: 7.72° Yaw: -149.81° | Acc: (-1.34, 0.48, -9.71) m/s² | Gyro: (-0.79, -0.23, -0.63) deg/s"
0.024,"telemetry","packetCounter: 9868 | sampleTimeFine: 7569104 | Roll: 176.90° Pitch: 7.72° Yaw: -149.80° | Acc: (-1.32, 0.46, -9.71) m/s² | Gyro: (-0.17, -0.31, -0.58) deg/s"
0.026,"telemetry","packetCounter: 9869 | sampleTimeFine: 7569204 | Roll: 176.90° Pitch: 7.73° Yaw: -149.80° | Acc: (-1.33, 0.48, -9.71) m/s² | Gyro: (-0.28, -0.47, -0.18) deg/s"
0.028,"telemetry","packetCounter: 9870 | sampleTimeFine: 7569304 | Roll: 176.90° Pitch: 7.73° Yaw: -149.81° | Acc: (-1.32, 0.48, -9.71) m/s² | Gyro: (-0.49, -0.71, -0.42) deg/s"
0.030,"telemetry","packetCounter: 9871 | sampleTimeFine: 7569404 | Roll: 176.90° Pitch: 7.73° Yaw: -149.82° | Acc: (-1.33, 0.47, -9.71) m/s² | Gyro: (-0.16, -0.37, -0.04) deg/s"
0.032,"telemetry","packetCounter: 9872 | sampleTimeFine: 7569504 | Roll: 176.90° Pitch: 7.73° Yaw: -149.81° | Acc: (-1.34, 0.47, -9.71) m/s² | Gyro: (-0.70, 0.06, -0.46) deg/s"
0.034,"telemetry","packetCounter: 9873 | sampleTimeFine: 7569604 | Roll: 176.90° Pitch: 7.73° Yaw: -149.81° | Acc: (-1.33, 0.47, -9.71) m/s² | Gyro: (-0.66, -0.70, -0.30) deg/s"
0.036,"telemetry","packetCounter: 9874 | sampleTimeFine: 7569704 | Roll: 176.90° Pitch: 7.73° Yaw: -149.81° | Acc: (-1.32, 0.48, -9.71) m/s² | Gyro: (-0.43, -0.46, -0.48) deg/s"
