time_seconds,type,message
0.007,"telemetry","packetCounter: 22842 | sampleTimeFine: 2311018 | Roll: -178.60° Pitch: 0.76° Yaw: 165.00° | Acc: (-0.09, -0.19, -9.81) m/s² | Gyro: (-0.36, -0.31, -0.74) deg/s"
0.012,"telemetry","packetCounter: 22843 | sampleTimeFine: 2311118 | Roll: -178.60° Pitch: 0.76° Yaw: 165.00° | Acc: (-0.08, -0.19, -9.81) m/s² | Gyro: (0.27, -0.23, -0.47) deg/s"
0.016,"telemetry","packetCounter: 22844 | sampleTimeFine: 2311218 | Roll: -178.60° Pitch: 0.76° Yaw: 164.99° | Acc: (-0.10, -0.19, -9.81) m/s² | Gyro: (-0.89, -0.30, -0.22) deg/s"
0.021,"telemetry","packetCounter: 22845 | sampleTimeFine: 2311318 | Roll: -178.60° Pitch: 0.76° Yaw: 164.98° | Acc: (-0.09, -0.19, -9.81) m/s² | Gyro: (-0.61, 0.07, -0.05) deg/s"
0.025,"telemetry","packetCounter: 22846 | sampleTimeFine: 2311418 | Roll: -178.60° Pitch: 0.76° Yaw: 164.99° | Acc: (-0.09, -0.18, -9.81) m/s² | Gyro: (0.20, -0.15, -0.26) deg/s"
0.029,"telemetry","packetCounter: 22847 | sampleTimeFine: 2311518 | Roll: -178.59° Pitch: 0.77° Yaw: 164.99° | Acc: (-0.10, -0.20, -9.81) m/s² | Gyro: (-0.05, -1.07, 0.04) deg/s"
0.033,"telemetry","packetCounter: 22848 | sampleTimeFine: 2311618 | Roll: -178.59° Pitch: 0.77° Yaw: 164.99° | Acc: (-0.10, -0.19, -9.80) m/s² | Gyro: (-0.06, -0.25, -0.25) deg/s"
0.038,"telemetry","packetCounter: 22849 | sampleTimeFine: 2311718 | Roll: -178.59° Pitch: 0.76° Yaw: 164.98° | Acc: (-0.09, -0.18, -9.81) m/s² | Gyro: (-0.36, 0.18, -0.04) deg/s"
0.042,"telemetry","packetCounter: 22850 | sampleTimeFine: 2311818 | Roll: -178.59° Pitch: 0.76° Yaw: 164.97° | Acc: (-0.09, -0.19, -9.81) m/s² | Gyro: (-0.23, -0.27, -0.55) deg/s"
0.046,"telemetry","packetCounter: 22851 | sampleTimeFine: 2311918 | Roll: -178.58° Pitch: 0.76° Yaw: 164.97° | Acc: (-0.10, -0.19, -9.81) m/s² | Gyro: (0.19, -0.47, -0.84) deg/s"
0.051,"telemetry","packetCounter: 22852 | sampleTimeFine: 2312018 | Roll: -178.58° Pitch: 0.77° Yaw: 164.96° | Acc: (-0.10, -0.19, -9.81) m/s² | Gyro: (-0.25, -0.56, 0.16) deg/s"
0.055,"telemetry","packetCounter: 22853 | sampleTimeFine: 2312118 | Roll: -178.58° Pitch: 0.76° Yaw: 164.96° | Acc: (-0.11, -0.19, -9.81) m/s² | Gyro: (-0.17, -0.04, -0.39) deg/s"
0.059,"telemetry","packetCounter: 22854 | sampleTimeFine: 2312218 | Roll: -178.57° Pitch: 0.77° Yaw: 164.96° | Acc: (-0.09, -0.19, -9.81) m/s² | Gyro: (-0.22, -0.28, -0.16) deg/s"
0.064,"telemetry","packetCounter: 22855 | sampleTimeFine: 2312318 | Roll: -178.58° Pitch: 0.77° Yaw: 164.97° | Acc: (-0.09, -0.19, -9.81) m/s² | Gyro: (-0.22, -0.69, -0.56) deg/s"
0.068,"telemetry","packetCounter: 22856 | sampleTimeFine: 2312418 | Roll: -178.58° Pitch: 0.77° Yaw: 164.98° | Acc: (-0.08, -0.19, -9.81) m/s² | Gyro: (-0.95, -0.37, -0.30) deg/s"
0.072,"telemetry","packetCounter: 22857 | sampleTimeFine: 2312518 | Roll: -178.58° Pitch: 0.77° Yaw: 164.98° | Acc: (-0.10, -0.19, -9.81) m/s² | Gyro: (0.00, -0.51, 0.12) deg/s"
