time_s,p_fault,fault_bin
0.3088,1.000000,1
0.3188,1.000000,1
0.3283,1.000000,1
0.3382,1.000000,1
0.3482,1.000000,1
0.3582,1.000000,1
0.3682,1.000000,1
0.3782,1.000000,1
0.3882,1.000000,1
0.3982,1.000000,1
0.4082,1.000000,1
0.4182,1.000000,1
0.4283,1.000000,1
0.4382,1.000000,1
0.4482,1.000000,1
0.4582,1.000000,1
0.4682,1.000000,1
0.4782,1.000000,1
0.4882,1.000000,1
0.4982,1.000000,1
0.5082,1.000000,1
0.5182,1.000000,1
0.5282,1.000000,1
0.5382,1.000000,1
0.5482,1.000000,1
0.5582,1.000000,1
0.5682,1.000000,1
0.5782,1.000000,1
0.5883,1.000000,1
0.5982,1.000000,1
0.6082,1.000000,1
0.6183,1.000000,1
0.6283,1.000000,1
0.6383,1.000000,1
0.6482,1.000000,1
0.6583,1.000000,1
0.6683,1.000000,1
0.6782,1.000000,1
0.6882,1.000000,1
0.6982,1.000000,1
0.7082,1.000000,1
0.7182,1.000000,1
0.7282,1.000000,1
0.7383,1.000000,1
0.7482,1.000000,1
0.7583,1.000000,1
0.7682,1.000000,1
0.7782,1.000000,1
0.7883,1.000000,1
0.7983,1.000000,1
