time_s,p_fault,fault_bin
4.0580,0.999998,1
4.0680,0.999997,1
4.0780,0.999996,1
4.0880,0.999996,1
4.0980,0.999996,1
4.1080,0.999995,1
4.1180,0.999994,1
4.1280,0.999993,1
4.1380,0.999991,1
4.1480,0.999990,1
4.1580,0.999988,1
4.1680,0.999984,1
4.1780,0.999981,1
4.1880,0.999978,1
4.1980,0.999973,1
4.2080,0.999967,1
4.2180,0.999966,1
4.2280,0.999963,1
4.2380,0.999962,1
4.2480,0.999954,1
4.2580,0.999950,1
4.2680,0.999947,1
4.2780,0.999952,1
4.2880,0.999952,1
4.2980,0.999945,1
4.3080,0.999935,1
4.3180,0.999930,1
4.3280,0.999924,1
4.3380,0.999936,1
4.3480,0.999949,1
4.3580,0.999950,1
4.3680,0.999961,1
4.3780,0.999960,1
4.3880,0.999974,1
4.3980,0.999978,1
4.4080,0.999988,1
4.4180,0.999990,1
4.4280,0.999993,1
4.4380,0.999994,1
4.4480,0.999996,1
4.4580,0.999996,1
4.4680,0.999996,1
4.4780,0.999996,1
4.4880,0.999995,1
4.4980,0.999996,1
4.5080,0.999995,1
4.5180,0.999995,1
4.5280,0.999996,1
4.5380,0.999996,1
4.5480,0.999996,1
4.5580,0.999996,1
4.5680,0.999997,1
4.5780,0.999997,1
4.5880,0.999998,1
4.5980,0.999998,1
4.6080,0.999999,1
4.6180,0.999999,1
4.6280,0.999999,1
4.6380,1.000000,1
4.6480,1.000000,1
4.6580,1.000000,1
4.6680,1.000000,1
4.6780,1.000000,1
4.6880,1.000000,1
4.6980,1.000000,1
4.7080,1.000000,1
4.7180,1.000000,1
4.7280,1.000000,1
4.7380,1.000000,1
4.7480,1.000000,1
4.7580,1.000000,1
4.7680,1.000000,1
4.7780,1.000000,1
4.7880,1.000000,1
4.7980,1.000000,1
4.8080,1.000000,1
4.8180,1.000000,1
4.8280,1.000000,1
4.8380,1.000000,1
4.8480,1.000000,1
4.8580,1.000000,1
4.8680,1.000000,1
4.8780,1.000000,1
4.8880,0.999999,1
4.8980,0.999999,1
4.9080,0.999999,1
4.9180,0.999998,1
4.9280,0.999998,1
4.9380,0.999997,1
4.9480,0.999997,1
4.9580,0.999995,1
4.9680,0.999994,1
4.9780,0.999992,1
4.9880,0.999990,1
4.9980,0.999989,1
5.0080,0.999986,1
5.0180,0.999982,1
5.0280,0.999978,1
5.0380,0.999972,1
5.0480,0.999970,1
5.0580,0.999968,1
5.0680,0.999969,1
5.0780,0.999970,1
5.0880,0.999970,1
5.0980,0.999970,1
5.1080,0.999960,1
5.1180,0.999949,1
5.1280,0.999945,1
5.1380,0.999925,1
5.1480,0.999898,1
5.1580,0.999894,1
5.1680,0.999914,1
5.1780,0.999922,1
5.1880,0.999943,1
5.1980,0.999973,1
5.2080,0.999986,1
5.2180,0.999995,1
5.2280,0.999999,1
5.2380,1.000000,1
5.2480,1.000000,1
5.2580,1.000000,1
5.2680,1.000000,1
5.2780,1.000000,1
5.2880,1.000000,1
5.2980,1.000000,1
5.3080,1.000000,1
5.3180,1.000000,1
5.3280,1.000000,1
5.3380,1.000000,1
5.3480,1.000000,1
5.3580,1.000000,1
5.3680,1.000000,1
5.3780,1.000000,1
5.3880,1.000000,1
5.3980,1.000000,1
5.4080,1.000000,1
5.4180,1.000000,1
5.4280,1.000000,1
5.4380,1.000000,1
5.4480,1.000000,1
5.4580,1.000000,1
5.4680,1.000000,1
5.4780,1.000000,1
5.4880,1.000000,1
5.4980,1.000000,1
5.5080,1.000000,1
5.5180,1.000000,1
5.5280,1.000000,1
5.5380,1.000000,1
5.5480,1.000000,1
5.5580,1.000000,1
5.5680,1.000000,1
5.5780,1.000000,1
5.5880,1.000000,1
5.5980,1.000000,1
5.6080,1.000000,1
5.6180,1.000000,1
5.6280,1.000000,1
5.6380,1.000000,1
5.6480,1.000000,1
5.6580,1.000000,1
5.6680,1.000000,1
5.6780,1.000000,1
5.6880,1.000000,1
5.6980,1.000000,1
5.7080,1.000000,1
5.7180,1.000000,1
5.7280,1.000000,1
