time_seconds,packet_counter,sample_time_fine,utc_time,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,free_acc_x,free_acc_y,free_acc_z,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x,mag_y,mag_z,lat,lon,altitude,vel_x,vel_y,vel_z,status_word,temperature,baropressure,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z
0.000521,10419,20798134,,178.74150085,1.51566482,-152.74285889,,,,,-0.23049060,0.20032939,-9.81608200,-0.01905697,-0.02752990,0.00512958,-0.54701283,-0.34349427,0.07789026,0.03813841,0.34118876,1.03083885,,,,,,,3,,,,,,,,,
0.000954,10420,20798234,,178.74238586,1.51670361,-152.74111938,,,,,-0.23625563,0.18893553,-9.80958176,-0.00912717,-0.03457378,-0.00146484,-0.13560183,-0.54724650,-0.40575771,0.03953123,0.34212533,1.03086066,,,,,,,3,,,,,,,,,
0.001389,10421,20798334,,178.74517822,1.52174389,-152.74263000,,,,,-0.22649810,0.18743731,-9.80342674,-0.01777790,-0.04042999,-0.00791049,-0.45872986,-0.65204316,-0.43252965,0.03908765,0.34069282,1.03083575,,,,,,,3,,,,,,,,,
0.001835,10422,20798434,,178.74263000,1.52002335,-152.73600769,,,,,-0.22118610,0.20098056,-9.80751514,-0.02824204,-0.03099259,-0.00366545,-0.53406903,-0.13045412,-0.74185134,0.03813056,0.33974937,1.02982652,,,,,,,3,,,,,,,,,
0.002203,10423,20798534,,178.74267578,1.51985621,-152.73211670,,,,,-0.22802031,0.17927583,-9.80552769,-0.01212964,-0.04728145,-0.00594783,-0.63554398,-0.29849322,-0.19909916,0.03911375,0.34021217,1.03132296,,,,,,,3,,,,,,,,,
0.002551,10424,20798634,,178.74320984,1.52424145,-152.73851013,,,,,-0.23305531,0.19053042,-9.80407524,-0.01365354,-0.03506628,-0.00701904,-0.38816651,-0.62130928,0.42350054,0.03910437,0.34165207,1.03184056,,,,,,,3,,,,,,,,,
0.002889,10425,20798734,,178.74401855,1.52300262,-152.73812866,,,,,-0.23454627,0.18703358,-9.81097698,-0.01063181,-0.03726564,-0.00015807,-0.19858586,-0.13683936,-0.52379152,0.03675395,0.34073189,1.03131938,,,,,,,3,,,,,,,,,
0.003235,10426,20798834,,178.74650574,1.52378213,-152.73271179,,,,,-0.22529605,0.18720730,-9.80101967,-0.01911311,-0.04110526,-0.01035142,-0.50559211,-0.46084108,-0.12929559,0.03770268,0.34119567,1.03182626,,,,,,,3,,,,,,,,,
0.003577,10427,20798934,,178.74783325,1.52333772,-152.72958374,,,,,-0.21976307,0.19778936,-9.80994511,-0.02924408,-0.03400823,-0.00134516,-0.16318229,-0.46743974,-0.00712970,0.03916543,0.34021065,1.03280747,,,,,,,3,,,,,,,,,
0.003930,10428,20799034,,178.74777222,1.52298641,-152.72976685,,,,,-0.22022620,0.19270483,-9.81306553,-0.02628236,-0.03836098,0.00167441,-0.31640686,-0.23752741,-0.40471243,0.03814779,0.33974886,1.03032136,,,,,,,3,,,,,,,,,
0.004280,10429,20799134,,178.75158691,1.52019656,-152.72393799,,,,,-0.22780047,0.19484212,-9.80236435,-0.02006535,-0.03156802,-0.00876784,0.06774474,0.24619689,-0.66145702,0.03807837,0.34071067,1.02885187,,,,,,,3,,,,,,,,,
0.004642,10430,20799234,,178.75646973,1.51820576,-152.71961975,,,,,-0.22739303,0.19088896,-9.80823421,-0.01884639,-0.03496330,-0.00299835,-0.25448914,-0.09925048,-0.26140596,0.04049770,0.34162885,1.03135240,,,,,,,3,,,,,,,,,
