time_s,p_fault,fault_bin
0.3081,0.167757,0
0.3180,0.389577,0
0.3274,0.558983,1
0.3374,0.667357,1
0.3474,0.736602,1
0.3574,0.781300,1
0.3674,0.812024,1
0.3774,0.835256,1
0.3874,0.850761,1
0.3974,0.862803,1
0.4074,0.875986,1
0.4174,0.888663,1
0.4274,0.897725,1
0.4374,0.904524,1
0.4474,0.908781,1
0.4574,0.911490,1
0.4674,0.913033,1
0.4774,0.913099,1
0.4874,0.913132,1
0.4974,0.913223,1
0.5074,0.913017,1
0.5174,0.906965,1
0.5274,0.899957,1
0.5374,0.891595,1
0.5474,0.883707,1
0.5575,0.875011,1
0.5674,0.863380,1
0.5775,0.849236,1
0.5875,0.837265,1
0.5975,0.827403,1
0.6075,0.817046,1
0.6175,0.805276,1
0.6274,0.792796,1
0.6374,0.779285,1
0.6474,0.764215,1
0.6574,0.748718,1
0.6675,0.733277,1
0.6775,0.716430,1
0.6875,0.698839,1
0.6975,0.681055,1
0.7074,0.664999,1
0.7175,0.651390,1
0.7274,0.637833,1
0.7375,0.623707,1
0.7475,0.608911,1
0.7574,0.593664,1
0.7674,0.578360,1
0.7775,0.563276,1
0.7875,0.545987,1
0.7975,0.527471,1
