time_seconds,packet_counter,sample_time_fine,utc_time,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,free_acc_x,free_acc_y,free_acc_z,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x,mag_y,mag_z,lat,lon,altitude,vel_x,vel_y,vel_z,status_word,temperature,baropressure,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z
0.001721,9147,7534435,,177.74269104,0.31313118,142.34169006,,,,,-0.10551233,0.39507103,-9.80034256,0.04613311,-0.02498929,-0.00691485,-0.57200689,-0.03742394,0.25611379,-0.32058477,-0.27098417,0.98916686,,,,,,,3,,,,,,,,,
0.003151,9148,7534535,,177.74433899,0.31848320,142.33929443,,,,,-0.10579149,0.39781126,-9.80688190,0.04726073,-0.02252822,-0.00026584,-0.47224888,-0.33606478,0.09433346,-0.31875619,-0.27005452,0.98820120,,,,,,,3,,,,,,,,,
0.004414,9149,7534635,,177.74061584,0.32221204,142.35618591,,,,,-0.10874983,0.39564660,-9.81032848,0.04745799,-0.02593022,0.00311494,-0.33722682,-0.30388245,-0.51816953,-0.32012293,-0.27147171,0.98866665,,,,,,,3,,,,,,,,,
0.005726,9150,7534735,,177.74122620,0.32658905,142.35636902,,,,,-0.10213220,0.39349532,-9.80829716,0.04016248,-0.02294946,0.00096679,-0.27493705,-0.62422246,-0.38301068,-0.32142073,-0.27289090,0.99111146,,,,,,,3,,,,,,,,,
0.006852,9151,7534835,,177.73635864,0.32891476,142.36009216,,,,,-0.09599485,0.40899903,-9.81237030,0.04377527,-0.00774937,0.00561571,-0.84915937,-0.34932079,-0.55411014,-0.32006291,-0.27099359,0.99065357,,,,,,,3,,,,,,,,,
0.007951,9152,7534935,,177.73004150,0.33087513,142.36495972,,,,,-0.10663911,0.39369875,-9.80654240,0.04282613,-0.02671815,-0.00075078,-0.29619921,0.23632588,-0.50014215,-0.32103771,-0.27097675,0.98965943,,,,,,,3,,,,,,,,,
0.009039,9153,7535035,,177.73622131,0.33298472,142.35443115,,,,,-0.10099266,0.39363456,-9.80314827,0.03786097,-0.02187964,-0.00417209,-0.04844198,-0.82461989,-0.40214067,-0.32156795,-0.27144694,0.98767030,,,,,,,3,,,,,,,,,
0.010216,9154,7535135,,177.73498535,0.33657226,142.32566833,,,,,-0.12316917,0.38239485,-9.80861568,0.04838260,-0.04458271,0.00097704,-0.25941982,-0.12514079,-0.28669663,-0.32061034,-0.27146330,0.98816961,,,,,,,3,,,,,,,,,
0.011438,9155,7535235,,177.73751831,0.33932886,142.31324768,,,,,-0.10030158,0.39485338,-9.80657768,0.03755462,-0.01989067,-0.00069714,-0.09868313,-0.46415591,-0.42688720,-0.32052371,-0.27242559,0.99013382,,,,,,,3,,,,,,,,,
0.012349,9156,7535335,,177.73388672,0.34552109,142.32202148,,,,,-0.11136299,0.39141750,-9.79655647,0.04332668,-0.02912407,-0.01077652,-0.55194967,-0.46214858,-0.41394436,-0.32099336,-0.27337745,0.98962164,,,,,,,3,,,,,,,,,
0.013157,9157,7535435,,177.73158264,0.34386986,142.31445312,,,,,-0.10395613,0.39986613,-9.80791378,0.04246493,-0.01848601,0.00085950,-0.13188371,-0.07951706,0.11158635,-0.32013077,-0.27291110,0.98765433,,,,,,,3,,,,,,,,,
0.013959,9158,7535535,,177.73391724,0.34876665,142.30462646,,,,,-0.10906205,0.38760638,-9.79969215,0.03854175,-0.03034465,-0.00780344,-0.19459701,-0.60596617,-0.05246699,-0.31866905,-0.27197659,0.98965549,,,,,,,3,,,,,,,,,
0.014719,9159,7535635,,177.73487854,0.35074583,142.33914185,,,,,-0.10141948,0.39690790,-9.81551361,0.03793920,-0.01838618,0.00832438,0.01721725,-0.09459889,-0.48445331,-0.31825104,-0.27102324,0.98868316,,,,,,,3,,,,,,,,,
0.015440,9160,7535735,,177.73214722,0.35180855,142.35659790,,,,,-0.10620996,0.40317410,-9.81717968,0.04480093,-0.01680883,0.01026940,-0.51976128,-0.20546933,-0.20740311,-0.31872910,-0.27245471,0.98766857,,,,,,,3,,,,,,,,,
0.016029,9161,7535835,,177.73263550,0.35621741,142.36131287,,,,,-0.10437898,0.39955726,-9.79931545,0.04108772,-0.01730479,-0.00773263,-0.17040313,-0.56957049,-0.00443003,-0.32007074,-0.27243298,0.98964125,,,,,,,3,,,,,,,,,
0.016654,9162,7535935,,177.72981262,0.35536689,142.36027527,,,,,-0.10935863,0.39194605,-9.80723763,0.03986210,-0.02729747,-0.00008678,-0.63851858,-0.24746320,0.09663995,-0.32192537,-0.27288198,0.99011958,,,,,,,3,,,,,,,,,
0.017325,9163,7536035,,177.72814941,0.35944176,142.34580994,,,,,-0.10314890,0.38542333,-9.80558205,0.03058140,-0.02817953,-0.00203347,-0.14823834,-0.35556527,-0.84219744,-0.32107165,-0.27193549,0.98815978,,,,,,,3,,,,,,,,,
0.017844,9164,7536135,,177.72644043,0.35962594,142.32742310,,,,,-0.10229355,0.39129794,-9.80347824,0.03322624,-0.02336297,-0.00390792,-0.40441622,-0.14512016,-0.45693379,-0.31965274,-0.27147964,0.98866892,,,,,,,3,,,,,,,,,
0.018243,9165,7536235,,177.72387695,0.36487725,142.32945251,,,,,-0.09494898,0.38143879,-9.80320644,0.02031782,-0.02620237,-0.00461364,-0.27343264,-0.68774237,-0.34641252,-0.31964388,-0.27195975,0.98866135,,,,,,,3,,,,,,,,,
0.018646,9166,7536335,,177.72209167,0.36759675,142.33117676,,,,,-0.09247815,0.39173347,-9.81038761,0.02379471,-0.01706010,0.00295377,-0.62676900,-0.37624649,-0.56791395,-0.32059261,-0.27242357,0.98815447,,,,,,,3,,,,,,,,,
0.019293,9974,7619235,,,,,,,,,-0.03844151,0.02728247,-7.36120033,,,,-0.57257769,-0.39690576,-0.04075015,-0.29733962,0.29404667,1.00713503,,,,,,,1,,,,,,,,,
0.027470,9975,7619335,,179.74531555,0.35134009,-179.99792480,,,,,-0.06981664,0.04624981,-9.80896759,-0.00610213,0.00199836,-0.00634289,-0.22743151,-0.76628052,-0.32550048,-0.29590294,0.29354227,1.00762892,,,,,,,3,,,,,,,,,
0.037367,9976,7619435,,179.74185181,0.35377213,-179.99670410,,,,,-0.06288299,0.04851198,-9.81207752,0.00204080,0.00430411,-0.00324535,-0.17051545,-0.42013644,-0.06993784,-0.29644254,0.29451200,1.00615728,,,,,,,3,,,,,,,,,
0.047501,9977,7619535,,179.74281311,0.35310215,-179.99468994,,,,,-0.05576714,0.05042684,-9.81553841,-0.00449076,0.00616119,0.00018001,-0.19138645,0.30985473,-0.38097448,-0.29639035,0.29355070,1.00713193,,,,,,,3,,,,,,,,,
0.057333,9978,7619635,,179.73767090,0.35414171,-179.99044800,,,,,-0.06911658,0.05805101,-9.81855392,0.00836640,0.01281485,0.00331354,-0.58720646,-0.11878657,-0.23124086,-0.29636425,0.29307008,1.00761914,,,,,,,3,,,,,,,,,
0.067416,9979,7619735,,179.73501587,0.35671860,-179.98844910,,,,,-0.07183316,0.05397673,-9.80135441,0.01053231,0.00853170,-0.01388693,-0.26922042,-0.44915399,-0.11824524,-0.29594573,0.29306367,1.00613689,,,,,,,3,,,,,,,,,
0.077386,9980,7619835,,179.73289490,0.35864010,-179.98435974,,,,,-0.06762884,0.06378281,-9.80648136,0.00637774,0.01804355,-0.00873899,-0.13645547,0.06975660,-0.55166611,-0.29551107,0.29497629,1.00616932,,,,,,,3,,,,,,,,,
0.087420,9981,7619935,,179.72979736,0.36251470,-179.98080444,,,,,-0.07264961,0.05474396,-9.81304932,0.01044578,0.00858805,-0.00217986,-0.01718992,-0.32207810,-0.33664970,-0.29593840,0.29546282,1.00765920,,,,,,,3,,,,,,,,,
0.097384,9982,7620035,,179.72752380,0.36510161,-179.97875977,,,,,-0.06687902,0.05457317,-9.80412102,0.00421771,0.00787663,-0.01114511,-0.19894508,-0.34157587,-0.15853103,-0.29548496,0.29449567,1.00665665,,,,,,,3,,,,,,,,,
0.107353,9983,7620135,,179.72746277,0.36936066,-179.97900391,,,,,-0.07443485,0.06042945,-9.81955719,0.01083085,0.01341447,0.00436711,-0.36619427,-0.55507784,-0.20991771,-0.29689500,0.29355964,1.00613999,,,,,,,3,,,,,,,,,
0.117409,9984,7620235,,179.72378540,0.36905131,-179.97579956,,,,,-0.06226347,0.05563981,-9.80860710,-0.00072098,0.00824948,-0.00668621,-0.30592697,0.25114411,-0.43324541,-0.29692161,0.29500005,1.00616264,,,,,,,3,,,,,,,,,
0.127384,9985,7620335,,179.71913147,0.36760154,-179.97415161,,,,,-0.05952513,0.05142336,-9.80967331,-0.00360991,0.00294561,-0.00565743,-0.68449178,-0.15512842,0.04730989,-0.29545939,0.29497477,1.00765383,,,,,,,3,,,,,,,,,
0.137496,9986,7620435,,179.71147156,0.37011093,-179.97048950,,,,,-0.07593833,0.05772747,-9.81165028,0.01275779,0.00836063,-0.00354218,-0.34286186,0.11793407,-0.51983407,-0.29592067,0.29450256,1.00764406,,,,,,,3,,,,,,,,,
