time_seconds,type,message
0.002,"telemetry","packetCounter: 38722 | sampleTimeFine: 10458799 | Roll: 179.75° Pitch: 0.30° Yaw: -121.34° | Acc: (-0.04, 0.07, -9.81) m/s² | Gyro: (-0.37, -0.12, -0.28) deg/s"
0.004,"telemetry","packetCounter: 38723 | sampleTimeFine: 10458899 | Roll: 179.75° Pitch: 0.31° Yaw: -121.34° | Acc: (-0.03, 0.06, -9.81) m/s² | Gyro: (-0.62, -0.70, -0.32) deg/s"
0.006,"telemetry","packetCounter: 38724 | sampleTimeFine: 10458999 | Roll: 179.74° Pitch: 0.31° Yaw: -121.34° | Acc: (-0.03, 0.05, -9.81) m/s² | Gyro: (-0.54, -0.09, -0.35) deg/s"
0.007,"telemetry","packetCounter: 38725 | sampleTimeFine: 10459099 | Roll: 179.75° Pitch: 0.31° Yaw: -121.35° | Acc: (-0.04, 0.06, -9.81) m/s² | Gyro: (-0.12, -0.53, -0.62) deg/s"
0.009,"telemetry","packetCounter: 38726 | sampleTimeFine: 10459199 | Roll: 179.75° Pitch: 0.31° Yaw: -121.37° | Acc: (-0.04, 0.07, -9.82) m/s² | Gyro: (-0.41, -0.12, -0.48) deg/s"
0.011,"telemetry","packetCounter: 38727 | sampleTimeFine: 10459299 | Roll: 179.75° Pitch: 0.30° Yaw: -121.39° | Acc: (-0.03, 0.07, -9.82) m/s² | Gyro: (-0.41, -0.08, -0.20) deg/s"
0.013,"telemetry","packetCounter: 38728 | sampleTimeFine: 10459399 | Roll: 179.75° Pitch: 0.31° Yaw: -121.39° | Acc: (-0.02, 0.06, -9.81) m/s² | Gyro: (-0.27, -0.33, -0.40) deg/s"
0.014,"telemetry","packetCounter: 38729 | sampleTimeFine: 10459499 | Roll: 179.75° Pitch: 0.30° Yaw: -121.39° | Acc: (-0.04, 0.06, -9.82) m/s² | Gyro: (-0.19, -0.24, -0.24) deg/s"
0.016,"telemetry","packetCounter: 38730 | sampleTimeFine: 10459599 | Roll: 179.75° Pitch: 0.30° Yaw: -121.40° | Acc: (-0.04, 0.07, -9.82) m/s² | Gyro: (-0.38, -0.07, -0.66) deg/s"
0.018,"telemetry","packetCounter: 38731 | sampleTimeFine: 10459699 | Roll: 179.75° Pitch: 0.30° Yaw: -121.41° | Acc: (-0.04, 0.05, -9.81) m/s² | Gyro: (-0.31, 0.08, -0.38) deg/s"
0.020,"telemetry","packetCounter: 38732 | sampleTimeFine: 10459799 | Roll: 179.75° Pitch: 0.29° Yaw: -121.42° | Acc: (-0.04, 0.07, -9.82) m/s² | Gyro: (-0.83, 0.16, 0.21) deg/s"
0.021,"telemetry","packetCounter: 38733 | sampleTimeFine: 10459899 | Roll: 179.75° Pitch: 0.29° Yaw: -121.42° | Acc: (-0.04, 0.07, -9.81) m/s² | Gyro: (-0.52, -0.31, 0.43) deg/s"
0.023,"telemetry","packetCounter: 38734 | sampleTimeFine: 10459999 | Roll: 179.75° Pitch: 0.29° Yaw: -121.42° | Acc: (-0.03, 0.06, -9.81) m/s² | Gyro: (-0.39, 0.07, -0.46) deg/s"
0.025,"telemetry","packetCounter: 38735 | sampleTimeFine: 10460099 | Roll: 179.75° Pitch: 0.29° Yaw: -121.41° | Acc: (-0.05, 0.06, -9.82) m/s² | Gyro: (-0.45, -0.39, -0.40) deg/s"
0.027,"telemetry","packetCounter: 38736 | sampleTimeFine: 10460199 | Roll: 179.74° Pitch: 0.29° Yaw: -121.41° | Acc: (-0.04, 0.06, -9.81) m/s² | Gyro: (-0.92, 0.09, -0.60) deg/s"
0.028,"telemetry","packetCounter: 38737 | sampleTimeFine: 10460299 | Roll: 179.74° Pitch: 0.28° Yaw: -121.44° | Acc: (-0.03, 0.07, -9.82) m/s² | Gyro: (-0.38, -0.33, -0.24) deg/s"
0.030,"telemetry","packetCounter: 38738 | sampleTimeFine: 10460399 | Roll: 179.74° Pitch: 0.29° Yaw: -121.45° | Acc: (-0.04, 0.05, -9.81) m/s² | Gyro: (-0.11, -0.83, -0.41) deg/s"
0.032,"telemetry","packetCounter: 38739 | sampleTimeFine: 10460499 | Roll: 179.74° Pitch: 0.29° Yaw: -121.46° | Acc: (-0.02, 0.07, -9.81) m/s² | Gyro: (-0.63, -0.19, -0.21) deg/s"
0.034,"telemetry","packetCounter: 38740 | sampleTimeFine: 10460599 | Roll: 179.74° Pitch: 0.29° Yaw: -121.46° | Acc: (-0.05, 0.06, -9.81) m/s² | Gyro: (-1.31, -0.46, -0.53) deg/s"
0.035,"telemetry","packetCounter: 38741 | sampleTimeFine: 10460699 | Roll: 179.73° Pitch: 0.30° Yaw: -121.45° | Acc: (-0.04, 0.07, -9.81) m/s² | Gyro: (-0.31, -1.09, -0.45) deg/s"
0.037,"telemetry","packetCounter: 39419 | sampleTimeFine: 10530628 | Acc: (-0.04, 0.05, -7.36) m/s² | Gyro: (-0.09, -0.31, -0.82) deg/s"
0.039,"telemetry","packetCounter: 39420 | sampleTimeFine: 10530728 | Roll: 179.61° Pitch: 0.33° Yaw: 180.00° | Acc: (-0.05, 0.06, -9.81) m/s² | Gyro: (-0.82, -0.25, -0.04) deg/s"
0.041,"telemetry","packetCounter: 39421 | sampleTimeFine: 10530828 | Roll: 179.60° Pitch: 0.33° Yaw: 180.00° | Acc: (-0.04, 0.07, -9.81) m/s² | Gyro: (-0.44, -0.33, -0.05) deg/s"
0.048,"telemetry","packetCounter: 39422 | sampleTimeFine: 10530928 | Roll: 179.60° Pitch: 0.33° Yaw: -180.00° | Acc: (-0.04, 0.06, -9.82) m/s² | Gyro: (-0.20, -0.41, -0.28) deg/s"
0.058,"telemetry","packetCounter: 39423 | sampleTimeFine: 10531028 | Roll: 179.60° Pitch: 0.34° Yaw: -180.00° | Acc: (-0.04, 0.07, -9.81) m/s² | Gyro: (-0.06, -0.44, -0.34) deg/s"
0.068,"telemetry","packetCounter: 39424 | sampleTimeFine: 10531128 | Roll: 179.59° Pitch: 0.34° Yaw: -179.99° | Acc: (-0.04, 0.07, -9.81) m/s² | Gyro: (-0.71, -0.36, -0.48) deg/s"
0.079,"telemetry","packetCounter: 39425 | sampleTimeFine: 10531228 | Roll: 179.58° Pitch: 0.34° Yaw: -179.99° | Acc: (-0.03, 0.07, -9.81) m/s² | Gyro: (-0.62, -0.04, 0.16) deg/s"
0.089,"telemetry","packetCounter: 39426 | sampleTimeFine: 10531328 | Roll: 179.58° Pitch: 0.35° Yaw: -179.99° | Acc: (-0.03, 0.07, -9.81) m/s² | Gyro: (-0.39, -0.57, -0.24) deg/s"
0.099,"telemetry","packetCounter: 39427 | sampleTimeFine: 10531428 | Roll: 179.58° Pitch: 0.35° Yaw: -179.99° | Acc: (-0.04, 0.06, -9.81) m/s² | Gyro: (-0.31, -0.20, -0.34) deg/s"
0.109,"telemetry","packetCounter: 39428 | sampleTimeFine: 10531528 | Roll: 179.57° Pitch: 0.35° Yaw: -179.99° | Acc: (-0.03, 0.07, -9.82) m/s² | Gyro: (-0.21, -0.14, -0.08) deg/s"
