time_seconds,type,message
0.003,"telemetry","packetCounter: 37880 | sampleTimeFine: 10376443 | Roll: -179.44° Pitch: 2.28° Yaw: 146.53° | Acc: (-0.37, -0.06, -9.82) m/s² | Gyro: (-0.03, -0.07, -0.13) deg/s"
0.004,"telemetry","packetCounter: 37881 | sampleTimeFine: 10376543 | Roll: -179.45° Pitch: 2.28° Yaw: 146.53° | Acc: (-0.38, -0.08, -9.80) m/s² | Gyro: (-0.78, -0.53, -0.44) deg/s"
0.006,"telemetry","packetCounter: 37882 | sampleTimeFine: 10376643 | Roll: -179.45° Pitch: 2.28° Yaw: 146.53° | Acc: (-0.38, -0.07, -9.80) m/s² | Gyro: (0.16, 0.05, -0.41) deg/s"
0.008,"telemetry","packetCounter: 37883 | sampleTimeFine: 10376743 | Roll: -179.45° Pitch: 2.28° Yaw: 146.53° | Acc: (-0.37, -0.07, -9.80) m/s² | Gyro: (-0.63, -0.21, -0.60) deg/s"
0.010,"telemetry","packetCounter: 37884 | sampleTimeFine: 10376843 | Roll: -179.45° Pitch: 2.28° Yaw: 146.53° | Acc: (-0.37, -0.07, -9.80) m/s² | Gyro: (-0.65, -0.35, -0.68) deg/s"
0.011,"telemetry","packetCounter: 37885 | sampleTimeFine: 10376943 | Roll: -179.45° Pitch: 2.28° Yaw: 146.54° | Acc: (-0.38, -0.07, -9.81) m/s² | Gyro: (-0.14, -0.96, -0.83) deg/s"
0.013,"telemetry","packetCounter: 37886 | sampleTimeFine: 10377043 | Roll: -179.45° Pitch: 2.29° Yaw: 146.54° | Acc: (-0.38, -0.07, -9.81) m/s² | Gyro: (-0.56, -0.42, -0.68) deg/s"
0.015,"telemetry","packetCounter: 37887 | sampleTimeFine: 10377143 | Roll: -179.45° Pitch: 2.28° Yaw: 146.54° | Acc: (-0.38, -0.08, -9.81) m/s² | Gyro: (-0.54, -0.42, -0.24) deg/s"
0.016,"telemetry","packetCounter: 37888 | sampleTimeFine: 10377243 | Roll: -179.45° Pitch: 2.28° Yaw: 146.54° | Acc: (-0.38, -0.08, -9.81) m/s² | Gyro: (-0.30, -0.05, -0.45) deg/s"
0.018,"telemetry","packetCounter: 37889 | sampleTimeFine: 10377343 | Roll: -179.45° Pitch: 2.28° Yaw: 146.54° | Acc: (-0.37, -0.07, -9.80) m/s² | Gyro: (-0.17, -0.02, 0.01) deg/s"
0.020,"telemetry","packetCounter: 37890 | sampleTimeFine: 10377443 | Roll: -179.45° Pitch: 2.28° Yaw: 146.54° | Acc: (-0.37, -0.06, -9.81) m/s² | Gyro: (-0.14, -0.47, -0.61) deg/s"
0.022,"telemetry","packetCounter: 37891 | sampleTimeFine: 10377543 | Roll: -179.45° Pitch: 2.28° Yaw: 146.54° | Acc: (-0.38, -0.07, -9.81) m/s² | Gyro: (0.07, -0.64, 0.24) deg/s"
0.023,"telemetry","packetCounter: 37892 | sampleTimeFine: 10377643 | Roll: -179.45° Pitch: 2.29° Yaw: 146.53° | Acc: (-0.38, -0.06, -9.81) m/s² | Gyro: (-0.54, -1.00, 0.00) deg/s"
0.025,"telemetry","packetCounter: 37893 | sampleTimeFine: 10377743 | Roll: -179.45° Pitch: 2.29° Yaw: 146.54° | Acc: (-0.38, -0.08, -9.80) m/s² | Gyro: (-0.59, -0.26, -0.55) deg/s"
0.027,"telemetry","packetCounter: 37894 | sampleTimeFine: 10377843 | Roll: -179.45° Pitch: 2.29° Yaw: 146.54° | Acc: (-0.37, -0.06, -9.81) m/s² | Gyro: (-0.52, -0.22, 0.01) deg/s"
0.028,"telemetry","packetCounter: 37895 | sampleTimeFine: 10377943 | Roll: -179.45° Pitch: 2.29° Yaw: 146.54° | Acc: (-0.38, -0.07, -9.80) m/s² | Gyro: (-0.11, -0.30, -0.36) deg/s"
0.030,"telemetry","packetCounter: 37896 | sampleTimeFine: 10378043 | Roll: -179.46° Pitch: 2.28° Yaw: 146.54° | Acc: (-0.37, -0.07, -9.81) m/s² | Gyro: (-0.96, 0.28, -0.14) deg/s"
0.032,"telemetry","packetCounter: 37897 | sampleTimeFine: 10378143 | Roll: -179.46° Pitch: 2.28° Yaw: 146.53° | Acc: (-0.37, -0.07, -9.81) m/s² | Gyro: (-0.40, -0.02, -0.41) deg/s"
0.034,"telemetry","packetCounter: 37898 | sampleTimeFine: 10378243 | Roll: -179.46° Pitch: 2.28° Yaw: 146.53° | Acc: (-0.38, -0.06, -9.81) m/s² | Gyro: (0.04, -0.30, -0.69) deg/s"
0.036,"telemetry","packetCounter: 38151 | sampleTimeFine: 10405648 | Acc: (-0.27, -0.05, -7.36) m/s² | Gyro: (-0.06, -0.37, -0.99) deg/s"
0.037,"telemetry","packetCounter: 38152 | sampleTimeFine: 10405748 | Roll: -179.58° Pitch: 2.12° Yaw: -179.98° | Acc: (-0.37, -0.07, -9.80) m/s² | Gyro: (-0.65, -0.28, 0.02) deg/s"
0.039,"telemetry","packetCounter: 38153 | sampleTimeFine: 10405848 | Roll: -179.59° Pitch: 2.12° Yaw: -179.98° | Acc: (-0.37, -0.08, -9.80) m/s² | Gyro: (0.13, 0.24, -0.39) deg/s"
0.049,"telemetry","packetCounter: 38154 | sampleTimeFine: 10405948 | Roll: -179.59° Pitch: 2.13° Yaw: -179.98° | Acc: (-0.38, -0.07, -9.81) m/s² | Gyro: (0.11, -0.48, -0.76) deg/s"
