time_seconds,packet_counter,sample_time_fine,utc_time,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,free_acc_x,free_acc_y,free_acc_z,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x,mag_y,mag_z,lat,lon,altitude,vel_x,vel_y,vel_z,status_word,temperature,baropressure,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z
0.001322,62400,6285525,,176.86624146,2.41369271,174.80114746,,,,,0.01492459,1.37226379,-10.23484802,-0.37165967,0.84768045,0.46973646,0.54508976,1.62215947,4.43094734,0.25607049,0.18673538,1.18583047,,,,,,,3,,,,,,,,,
0.003094,62401,6285625,,176.86613464,2.39072132,174.74435425,,,,,0.16451742,0.91843039,-9.68428326,-0.53289759,0.43809745,-0.11132264,-0.23705711,-1.05583711,3.46220475,0.25304997,0.18918812,1.18140137,,,,,,,3,,,,,,,,,
0.004755,62402,6285725,,176.86660767,2.39184761,174.71368408,,,,,0.13549301,-0.78832817,-10.01712418,-0.66945100,-1.27717018,0.13005543,1.12601592,1.89973729,2.93100749,0.25311837,0.19014587,1.18389058,,,,,,,3,,,,,,,,,
0.006601,62403,6285825,,176.89630127,2.37188363,174.70323181,,,,,-0.21268356,-0.12731373,-9.51694870,-0.23900786,-0.62428206,-0.31865883,-0.05091075,0.57487733,1.89537493,0.25488788,0.18867783,1.17991817,,,,,,,3,,,,,,,,,
0.008338,62404,6285925,,176.90202332,2.35364747,174.67321777,,,,,0.06772266,1.36102986,-9.96391582,-0.39974883,0.85962307,0.19624996,-1.57204264,1.58111697,4.13943359,0.25314754,0.18390661,1.18131816,,,,,,,3,,,,,,,,,
0.009475,62405,6286025,,176.86976624,2.32835293,174.61695862,,,,,-0.20283522,0.84519315,-10.22234249,-0.18410793,0.30644619,0.43759000,0.16526054,2.15925524,4.93917275,0.25169212,0.18729080,1.18185925,,,,,,,3,,,,,,,,,
0.010773,62406,6286125,,176.87152100,2.30259895,174.57975769,,,,,0.14694361,-0.25399712,-10.30018806,-0.63524884,-0.75650430,0.44088984,1.43478902,-0.85891086,1.18896827,0.25199786,0.18872736,1.17792547,,,,,,,3,,,,,,,,,
0.012728,62407,6286225,,176.91378784,2.29564333,174.57341003,,,,,-0.01634926,-0.40252772,-10.11840630,-0.47344077,-0.90726036,0.25901759,0.44806334,2.03388221,3.76196275,0.25318983,0.18534499,1.18332016,,,,,,,3,,,,,,,,,
0.014468,62408,6286325,,176.92735291,2.26707625,174.54522705,,,,,-0.53147870,0.74854553,-8.95732117,0.20069873,0.24858457,-0.81686902,-1.28778500,0.97003094,4.33617676,0.25354829,0.18486050,1.17985106,,,,,,,3,,,,,,,,,
0.015904,62409,6286425,,176.89469910,2.23687530,174.48692322,,,,,-0.15632188,1.28789937,-9.70425701,-0.15162793,0.77910155,-0.05672336,-1.17921007,-0.11751829,3.37055642,0.25401798,0.18581234,1.18036318,,,,,,,3,,,,,,,,,
