time_seconds,type,message
0.005,"telemetry","packetCounter: 61448 | sampleTimeFine: 6173619 | Roll: -179.04° Pitch: 0.22° Yaw: -85.44° | Acc: (-0.03, -0.13, -9.81) m/s² | Gyro: (-0.37, -0.04, -0.41) deg/s"
0.009,"telemetry","packetCounter: 61449 | sampleTimeFine: 6173719 | Roll: -179.05° Pitch: 0.22° Yaw: -85.44° | Acc: (-0.02, -0.13, -9.82) m/s² | Gyro: (-0.41, -0.04, 0.14) deg/s"
0.014,"telemetry","packetCounter: 61450 | sampleTimeFine: 6173819 | Roll: -179.05° Pitch: 0.21° Yaw: -85.44° | Acc: (-0.02, -0.13, -9.82) m/s² | Gyro: (-0.37, 0.17, 0.19) deg/s"
0.018,"telemetry","packetCounter: 61451 | sampleTimeFine: 6173919 | Roll: -179.05° Pitch: 0.22° Yaw: -85.44° | Acc: (-0.02, -0.13, -9.82) m/s² | Gyro: (-0.42, -0.42, -0.85) deg/s"
0.022,"telemetry","packetCounter: 61452 | sampleTimeFine: 6174019 | Roll: -179.05° Pitch: 0.21° Yaw: -85.45° | Acc: (-0.03, -0.13, -9.81) m/s² | Gyro: (-0.69, -0.08, 0.15) deg/s"
0.027,"telemetry","packetCounter: 61453 | sampleTimeFine: 6174119 | Roll: -179.05° Pitch: 0.21° Yaw: -85.47° | Acc: (-0.03, -0.13, -9.81) m/s² | Gyro: (-0.23, -0.70, -0.21) deg/s"
0.031,"telemetry","packetCounter: 61454 | sampleTimeFine: 6174219 | Roll: -179.05° Pitch: 0.22° Yaw: -85.46° | Acc: (-0.01, -0.13, -9.82) m/s² | Gyro: (-0.31, 0.05, -0.49) deg/s"
0.035,"telemetry","packetCounter: 61455 | sampleTimeFine: 6174319 | Roll: -179.05° Pitch: 0.21° Yaw: -85.47° | Acc: (-0.02, -0.13, -9.82) m/s² | Gyro: (-0.35, 0.03, -0.38) deg/s"
0.040,"telemetry","packetCounter: 61456 | sampleTimeFine: 6174419 | Roll: -179.05° Pitch: 0.21° Yaw: -85.48° | Acc: (-0.02, -0.13, -9.81) m/s² | Gyro: (-0.12, -0.42, -0.01) deg/s"
0.044,"telemetry","packetCounter: 61457 | sampleTimeFine: 6174519 | Roll: -179.04° Pitch: 0.21° Yaw: -85.48° | Acc: (-0.03, -0.13, -9.81) m/s² | Gyro: (-0.22, -0.61, -0.29) deg/s"
0.048,"telemetry","packetCounter: 61458 | sampleTimeFine: 6174619 | Roll: -179.04° Pitch: 0.21° Yaw: -85.49° | Acc: (-0.03, -0.13, -9.82) m/s² | Gyro: (0.29, -0.20, 0.12) deg/s"
0.052,"telemetry","packetCounter: 61459 | sampleTimeFine: 6174719 | Roll: -179.04° Pitch: 0.21° Yaw: -85.49° | Acc: (-0.02, -0.13, -9.82) m/s² | Gyro: (-0.48, -0.21, -0.34) deg/s"
0.057,"telemetry","packetCounter: 61460 | sampleTimeFine: 6174819 | Roll: -179.04° Pitch: 0.21° Yaw: -85.49° | Acc: (-0.03, -0.14, -9.81) m/s² | Gyro: (-0.61, 0.01, -0.42) deg/s"
0.061,"telemetry","packetCounter: 61461 | sampleTimeFine: 6174919 | Roll: -179.04° Pitch: 0.20° Yaw: -85.49° | Acc: (-0.02, -0.13, -9.81) m/s² | Gyro: (-0.17, -0.17, -0.64) deg/s"
0.065,"telemetry","packetCounter: 61462 | sampleTimeFine: 6175019 | Roll: -179.04° Pitch: 0.20° Yaw: -85.48° | Acc: (-0.02, -0.13, -9.82) m/s² | Gyro: (-0.20, 0.02, -0.27) deg/s"
0.069,"telemetry","packetCounter: 61463 | sampleTimeFine: 6175119 | Roll: -179.04° Pitch: 0.20° Yaw: -85.49° | Acc: (-0.03, -0.14, -9.82) m/s² | Gyro: (-0.58, -0.21, -0.16) deg/s"
0.074,"telemetry","packetCounter: 61464 | sampleTimeFine: 6175219 | Roll: -179.05° Pitch: 0.20° Yaw: -85.49° | Acc: (-0.03, -0.13, -9.81) m/s² | Gyro: (-1.07, -0.03, -0.60) deg/s"
0.078,"telemetry","packetCounter: 61465 | sampleTimeFine: 6175319 | Roll: -179.05° Pitch: 0.20° Yaw: -85.49° | Acc: (-0.03, -0.14, -9.80) m/s² | Gyro: (-0.20, -0.49, -0.39) deg/s"
0.083,"telemetry","packetCounter: 22728 | sampleTimeFine: 8857304 | Acc: (-0.15, 0.00, -7.35) m/s² | Gyro: (-0.74, -1.26, -0.15) deg/s"
