time_seconds,total,rms_x,rms_y,rms_z,baseline_total,baseline_x,baseline_y,baseline_z,d2,ewma_d2,p_fault,decision
0.502,2.165612,1.187301,1.682597,0.670120,0.876576,0.312564,0.637307,0.452570,228.6690,11.4334,0.9779,FAULT
0.511,2.196235,1.189286,1.717213,0.678400,0.988569,0.386967,0.728953,0.471735,189.8872,20.3561,0.9996,FAULT
0.520,2.219510,1.226277,1.716730,0.689426,1.085906,0.453336,0.807061,0.488949,176.8297,28.1798,1.0000,FAULT
0.530,2.247698,1.234239,1.743867,0.698376,1.172039,0.511231,0.876515,0.504476,153.3671,34.4392,1.0000,FAULT
0.541,2.291000,1.237034,1.793431,0.708543,1.250240,0.561955,0.940596,0.518738,132.0136,39.3179,1.0000,FAULT
0.551,2.311062,1.265821,1.795539,0.717458,1.320461,0.608547,0.997188,0.531892,125.5833,43.6312,1.0000,FAULT
0.561,2.346711,1.281585,1.829824,0.718565,1.385078,0.650924,1.049615,0.543646,115.0621,47.2027,1.0000,FAULT
0.571,2.383280,1.282952,1.869693,0.733693,1.445089,0.688921,1.098916,0.555071,101.0679,49.8960,1.0000,FAULT
0.581,2.407064,1.305419,1.884015,0.735070,1.500497,0.724430,1.144137,0.565439,96.7965,52.2410,1.0000,FAULT
0.591,2.420783,1.313254,1.895732,0.736039,1.551439,0.757024,1.185741,0.574882,88.5449,54.0562,1.0000,FAULT
0.601,2.495446,1.313107,1.985731,0.748248,1.601800,0.786690,1.228419,0.584131,78.2686,55.2668,1.0000,FAULT
0.611,2.524934,1.348519,1.996998,0.754179,1.649384,0.815651,1.268037,0.592896,80.5053,56.5287,1.0000,FAULT
0.621,2.539780,1.355829,2.007104,0.764030,1.693836,0.842618,1.304933,0.601440,74.5761,57.4311,1.0000,FAULT
0.631,2.583824,1.357569,2.055510,0.779763,1.736961,0.867571,1.341303,0.610081,67.7621,57.9477,1.0000,FAULT
0.641,2.610280,1.384010,2.064959,0.796257,1.778116,0.891908,1.375406,0.618854,68.5593,58.4782,1.0000,FAULT
0.651,2.628593,1.400601,2.075530,0.799997,1.817166,0.915265,1.407552,0.627171,66.6882,58.8887,1.0000,FAULT
0.661,2.662974,1.402014,2.107647,0.826808,1.855070,0.937078,1.438926,0.636118,61.6052,59.0246,1.0000,FAULT
0.672,2.685706,1.420917,2.121572,0.832433,1.891457,0.958273,1.468830,0.644718,60.9131,59.1190,1.0000,FAULT
0.681,2.693642,1.428436,2.125822,0.834361,1.925858,0.978436,1.497005,0.652850,57.5720,59.0416,1.0000,FAULT
0.691,2.732657,1.428608,2.164333,0.861484,1.959776,0.997361,1.525059,0.661621,53.7564,58.7774,1.0000,FAULT
0.701,2.755431,1.464307,2.165322,0.871544,1.992608,1.016629,1.551479,0.670284,57.6446,58.7207,1.0000,FAULT
0.711,2.764489,1.469059,2.169942,0.880689,2.023907,1.034975,1.576557,0.678816,54.4417,58.5068,1.0000,FAULT
0.721,2.631548,1.332000,2.119149,0.812423,2.048148,1.046824,1.598203,0.684145,23.9568,56.7793,1.0000,FAULT
0.731,2.644374,1.339448,2.121555,0.835223,2.071571,1.058320,1.618763,0.690081,24.0543,55.1430,1.0000,FAULT
0.741,2.628910,1.332119,2.105721,0.838193,2.093155,1.068923,1.637621,0.695816,21.4420,53.4580,1.0000,FAULT
0.751,2.617945,1.336604,2.079422,0.862050,2.113206,1.079151,1.654501,0.702168,21.5424,51.8622,1.0000,FAULT
0.761,2.620911,1.351277,2.070712,0.869125,2.132361,1.089418,1.670205,0.708467,21.8742,50.3628,1.0000,FAULT
0.771,2.612710,1.327255,2.074775,0.871752,2.150271,1.098285,1.685289,0.714555,18.1942,48.7544,1.0000,FAULT
0.781,2.613434,1.331655,2.056413,0.909890,2.167349,1.106890,1.698973,0.721758,20.0983,47.3216,1.0000,FAULT
0.791,2.597893,1.354185,2.018538,0.916915,2.183060,1.115914,1.710635,0.728879,20.9102,46.0010,1.0000,FAULT
0.801,2.601987,1.336179,2.032888,0.923214,2.198198,1.123874,1.722280,0.735902,18.5504,44.6285,1.0000,FAULT
0.811,2.597256,1.335662,2.019575,0.939714,2.212487,1.131457,1.732925,0.743199,18.5829,43.3262,1.0000,FAULT
