time_s,label,confidence
22.2435,normal,0.982500
22.3441,normal,0.980000
22.4433,normal,0.980000
22.5440,normal,0.980000
22.6451,normal,0.975000
22.7450,normal,0.975000
22.8434,normal,0.972500
22.9441,normal,0.972500
23.0437,normal,0.965000
23.1447,normal,0.965000
23.2446,normal,0.975000
23.3440,normal,0.997500
23.4436,normal,0.997500
