time_seconds,total,rms_x,rms_y,rms_z,baseline_total,baseline_x,baseline_y,baseline_z,d2,ewma_d2,p_fault,decision
0.512,0.343613,0.007128,0.013561,0.343272,0.709436,0.204301,0.484198,0.422587,55.3517,2.7676,0.4026,NORMAL
0.522,0.343596,0.006798,0.013343,0.343269,0.678389,0.187540,0.444239,0.415856,46.1804,4.9382,0.7063,FAULT
0.531,0.343586,0.006816,0.013516,0.343252,0.651914,0.173249,0.410180,0.410115,38.8427,6.6335,0.8434,FAULT
0.541,0.343528,0.006806,0.012970,0.343216,0.629051,0.160910,0.380731,0.405155,33.3221,7.9679,0.9072,FAULT
0.551,0.343530,0.006782,0.012801,0.343224,0.609097,0.150138,0.355018,0.400827,28.7605,9.0075,0.9391,FAULT
0.561,0.343489,0.006653,0.012454,0.343198,0.591515,0.140640,0.332342,0.397012,25.1132,9.8128,0.9563,FAULT
0.571,0.343505,0.006488,0.012488,0.343217,0.575899,0.132193,0.312202,0.393625,21.9928,10.4218,0.9661,FAULT
0.581,0.343506,0.006445,0.012330,0.343224,0.561928,0.124634,0.294175,0.390595,19.4226,10.8718,0.9720,FAULT
0.591,0.343494,0.006447,0.012289,0.343214,0.549347,0.117826,0.277938,0.387866,17.2135,11.1889,0.9755,FAULT
0.601,0.343544,0.006444,0.011955,0.343276,0.537954,0.111661,0.263215,0.385397,15.4174,11.4003,0.9776,FAULT
0.611,0.343572,0.006024,0.011868,0.343314,0.527584,0.106025,0.249806,0.383152,13.8667,11.5237,0.9787,FAULT
0.621,0.343604,0.006271,0.011730,0.343346,0.518101,0.100883,0.237534,0.381100,12.4548,11.5702,0.9791,FAULT
0.631,0.343633,0.006166,0.011398,0.343389,0.509391,0.096155,0.226245,0.379218,11.3135,11.5574,0.9790,FAULT
0.641,0.343632,0.006468,0.011061,0.343393,0.501359,0.091809,0.215818,0.377482,10.2664,11.4928,0.9785,FAULT
0.651,0.343619,0.006242,0.010802,0.343392,0.493925,0.087776,0.206156,0.375875,9.3861,11.3875,0.9775,FAULT
0.661,0.343615,0.006264,0.010423,0.343400,0.487024,0.084034,0.197169,0.374384,8.6062,11.2484,0.9761,FAULT
0.671,0.343603,0.006216,0.010336,0.343392,0.480597,0.080546,0.188797,0.372995,7.8637,11.0792,0.9743,FAULT
0.681,0.343545,0.005731,0.009829,0.343356,0.474593,0.077269,0.180957,0.371697,7.3184,10.8912,0.9722,FAULT
0.691,0.343547,0.005695,0.009340,0.343373,0.468973,0.074200,0.173597,0.370482,6.7883,10.6860,0.9697,FAULT
0.701,0.343523,0.005713,0.008799,0.343363,0.463699,0.071320,0.166669,0.369342,6.3141,10.4674,0.9668,FAULT
0.711,0.343510,0.005804,0.008374,0.343359,0.458740,0.068617,0.160137,0.368270,5.8615,10.2371,0.9634,FAULT
0.721,0.009608,0.005586,0.005832,0.005206,0.440527,0.066061,0.153880,0.353548,17.8383,10.6172,0.9688,FAULT
0.731,0.009500,0.005557,0.005689,0.005195,0.423333,0.063647,0.147968,0.339651,16.4298,10.9078,0.9724,FAULT
0.741,0.009415,0.005721,0.005437,0.005133,0.407072,0.061372,0.142369,0.326509,15.1319,11.1190,0.9747,FAULT
0.751,0.009407,0.005740,0.005437,0.005097,0.391672,0.059217,0.137066,0.314062,13.9730,11.2617,0.9762,FAULT
0.761,0.009443,0.005767,0.005412,0.005160,0.377067,0.057175,0.132036,0.302260,12.9154,11.3444,0.9770,FAULT
0.771,0.009674,0.005705,0.005768,0.005269,0.363206,0.055233,0.127272,0.291055,11.9693,11.3757,0.9773,FAULT
0.781,0.009665,0.005668,0.005794,0.005265,0.350024,0.053385,0.122742,0.280399,11.0918,11.3615,0.9772,FAULT
0.791,0.009855,0.005984,0.005793,0.005268,0.337481,0.051637,0.118430,0.270254,10.2625,11.3065,0.9767,FAULT
0.801,0.009923,0.006067,0.005828,0.005263,0.325528,0.049974,0.114321,0.260584,9.5187,11.2171,0.9758,FAULT
0.811,0.009985,0.006076,0.005930,0.005255,0.314126,0.048388,0.110404,0.251358,8.8421,11.0984,0.9745,FAULT
0.821,0.009881,0.006077,0.005878,0.005115,0.303232,0.046873,0.106662,0.242541,8.2158,10.9542,0.9729,FAULT
0.831,0.009800,0.005992,0.005859,0.005080,0.292815,0.045422,0.103083,0.234111,7.6452,10.7888,0.9710,FAULT
0.841,0.009738,0.005859,0.005883,0.005088,0.282847,0.044029,0.099660,0.226046,7.1226,10.6055,0.9686,FAULT
0.851,0.009915,0.005887,0.006121,0.005118,0.273308,0.042696,0.096391,0.218325,6.6350,10.4070,0.9659,FAULT
0.861,0.010009,0.005859,0.006142,0.005303,0.264171,0.041417,0.093259,0.210932,6.1830,10.1958,0.9627,FAULT
0.871,0.010013,0.005909,0.006090,0.005315,0.255410,0.040193,0.090255,0.203845,5.7592,9.9739,0.9591,FAULT
0.881,0.009904,0.006049,0.006005,0.005044,0.247000,0.039024,0.087369,0.197035,5.3610,9.7433,0.9550,FAULT
0.891,0.009836,0.005955,0.005985,0.005046,0.238923,0.037898,0.084597,0.190496,5.0054,9.5064,0.9504,FAULT
0.901,0.009807,0.006019,0.005988,0.004908,0.231164,0.036818,0.081935,0.184211,4.6677,9.2645,0.9452,FAULT
0.911,0.009830,0.006043,0.005998,0.004914,0.223706,0.035781,0.079376,0.178170,4.3568,9.0191,0.9394,FAULT
0.921,0.009779,0.006055,0.005995,0.004798,0.216533,0.034784,0.076916,0.172357,4.0677,8.7715,0.9329,FAULT
0.931,0.009738,0.006055,0.005980,0.004734,0.209631,0.033825,0.074548,0.166762,3.7995,8.5229,0.9258,FAULT
0.941,0.009659,0.006058,0.005801,0.004789,0.202985,0.032903,0.072263,0.161379,3.5480,8.2742,0.9180,FAULT
0.951,0.009529,0.005963,0.005627,0.004855,0.196581,0.032011,0.070058,0.156198,3.3180,8.0264,0.9094,FAULT
0.961,0.009433,0.005797,0.005617,0.004881,0.190410,0.031146,0.067933,0.151208,3.1091,7.7805,0.9000,FAULT
0.971,0.009392,0.005604,0.005734,0.004891,0.184461,0.030307,0.065889,0.146400,2.9168,7.5373,0.8899,FAULT
0.981,0.009312,0.005589,0.005602,0.004907,0.178725,0.029497,0.063914,0.141766,2.7273,7.2968,0.8790,FAULT
0.991,0.009541,0.005608,0.005563,0.005351,0.173201,0.028718,0.062009,0.137312,2.5499,7.0595,0.8672,FAULT
1.001,0.009683,0.005729,0.005596,0.005443,0.167878,0.027969,0.060173,0.133019,2.3826,6.8256,0.8546,FAULT
1.012,0.009640,0.005711,0.005577,0.005404,0.162741,0.027247,0.058400,0.128876,2.2306,6.5959,0.8412,FAULT
1.022,0.009780,0.005807,0.005664,0.005463,0.157788,0.026552,0.056692,0.124880,2.0864,6.3704,0.8269,FAULT
1.031,0.009664,0.005803,0.005471,0.005458,0.153003,0.025882,0.055038,0.121022,1.9510,6.1494,0.8117,FAULT
1.041,0.009766,0.005832,0.005645,0.005432,0.148387,0.025236,0.053446,0.117297,1.8288,5.9334,0.7958,FAULT
1.051,0.009749,0.005860,0.005573,0.005444,0.143928,0.024613,0.051906,0.113699,1.7111,5.7223,0.7791,FAULT
1.061,0.009799,0.005844,0.005579,0.005545,0.139623,0.024010,0.050419,0.110228,1.6032,5.5163,0.7617,FAULT
1.071,0.009892,0.005877,0.005568,0.005684,0.135467,0.023429,0.048983,0.106879,1.5005,5.3155,0.7436,FAULT
1.081,0.009922,0.005827,0.005542,0.005812,0.131452,0.022866,0.047593,0.103647,1.4064,5.1201,0.7248,FAULT
1.092,0.010065,0.005807,0.005535,0.006078,0.127576,0.022322,0.046250,0.100532,1.3170,4.9299,0.7054,FAULT
1.101,0.010051,0.005909,0.005556,0.005936,0.123830,0.021799,0.044953,0.097516,1.2330,4.7451,0.6855,FAULT
1.111,0.009892,0.006002,0.005277,0.005829,0.120203,0.021296,0.043690,0.094598,1.1503,4.5653,0.6651,FAULT
1.121,0.009755,0.005827,0.005294,0.005761,0.116692,0.020804,0.042470,0.091774,1.0827,4.3912,0.6444,FAULT
1.131,0.009762,0.005838,0.005323,0.005733,0.113298,0.020329,0.041291,0.089042,1.0153,4.2224,0.6233,FAULT
1.141,0.009582,0.005582,0.005309,0.005698,0.110009,0.019861,0.040150,0.086400,0.9572,4.0592,0.6019,FAULT
1.151,0.009467,0.005358,0.005391,0.005644,0.106825,0.019402,0.039049,0.083842,0.9029,3.9013,0.5805,FAULT
1.161,0.009428,0.005310,0.005366,0.005648,0.103743,0.018956,0.037983,0.081368,0.8473,3.7486,0.5589,FAULT
1.171,0.009372,0.005389,0.005329,0.005514,0.100761,0.018527,0.036951,0.078971,0.7933,3.6009,0.5373,FAULT
1.181,0.009389,0.005403,0.005344,0.005514,0.097875,0.018113,0.035953,0.076651,0.7438,3.4580,0.5157,FAULT
1.191,0.009590,0.005404,0.005331,0.005861,0.095090,0.017712,0.034987,0.074418,0.6962,3.3199,0.4942,NORMAL
1.201,0.009649,0.005437,0.005370,0.005891,0.092397,0.017325,0.034053,0.072258,0.6527,3.1866,0.4729,NORMAL
1.211,0.009537,0.005342,0.005269,0.005888,0.089787,0.016948,0.033147,0.070167,0.6127,3.0579,0.4518,NORMAL
1.221,0.009502,0.005309,0.005282,0.005847,0.087260,0.016581,0.032270,0.068142,0.5755,2.9338,0.4310,NORMAL
1.231,0.009475,0.005308,0.005225,0.005857,0.084813,0.016227,0.031419,0.066183,0.5394,2.8140,0.4106,NORMAL
1.241,0.009376,0.005128,0.005237,0.005847,0.082442,0.015878,0.030596,0.064287,0.5086,2.6988,0.3906,NORMAL
1.251,0.009681,0.005579,0.005340,0.005839,0.080156,0.015554,0.029802,0.062450,0.4719,2.5874,0.3709,NORMAL
1.261,0.009646,0.005559,0.005349,0.005790,0.077942,0.015240,0.029035,0.060672,0.4432,2.4802,0.3518,NORMAL
1.271,0.009366,0.005611,0.004845,0.005725,0.075790,0.014938,0.028276,0.058947,0.4112,2.3768,0.3332,NORMAL
1.281,0.009487,0.005608,0.004832,0.005934,0.073710,0.014646,0.027540,0.057284,0.3849,2.2772,0.3151,NORMAL
1.291,0.009290,0.005254,0.004843,0.005936,0.071691,0.014351,0.026829,0.055675,0.3656,2.1816,0.2976,NORMAL
1.301,0.009310,0.005285,0.004813,0.005965,0.069736,0.014067,0.026139,0.054117,0.3423,2.0896,0.2807,NORMAL
1.311,0.009299,0.005370,0.004774,0.005903,0.067843,0.013795,0.025470,0.052607,0.3202,2.0011,0.2645,NORMAL
1.321,0.009332,0.005371,0.004815,0.005920,0.066011,0.013531,0.024823,0.051145,0.3007,1.9161,0.2488,NORMAL
1.331,0.009478,0.005390,0.004874,0.006086,0.064241,0.013276,0.024198,0.049734,0.2817,1.8344,0.2338,NORMAL
