time_seconds,type,message
0.005,"telemetry","packetCounter: 20087 | sampleTimeFine: 8599530 | Roll: 176.17° Pitch: 1.92° Yaw: -166.88° | Acc: (-0.32, 0.63, -9.78) m/s² | Gyro: (-0.19, -0.58, -0.43) deg/s"
0.010,"telemetry","packetCounter: 20088 | sampleTimeFine: 8599630 | Roll: 176.18° Pitch: 1.92° Yaw: -166.88° | Acc: (-0.31, 0.65, -9.79) m/s² | Gyro: (-0.34, -0.01, -0.49) deg/s"
0.014,"telemetry","packetCounter: 20089 | sampleTimeFine: 8599730 | Roll: 176.17° Pitch: 1.92° Yaw: -166.87° | Acc: (-0.30, 0.64, -9.79) m/s² | Gyro: (-0.74, -0.29, -0.88) deg/s"
0.018,"telemetry","packetCounter: 20090 | sampleTimeFine: 8599830 | Roll: 176.17° Pitch: 1.92° Yaw: -166.86° | Acc: (-0.30, 0.65, -9.79) m/s² | Gyro: (-0.74, -0.13, -0.30) deg/s"
0.022,"telemetry","packetCounter: 20091 | sampleTimeFine: 8599930 | Roll: 176.17° Pitch: 1.91° Yaw: -166.86° | Acc: (-0.31, 0.65, -9.79) m/s² | Gyro: (0.00, 0.04, -0.32) deg/s"
0.027,"telemetry","packetCounter: 20092 | sampleTimeFine: 8600030 | Roll: 176.17° Pitch: 1.92° Yaw: -166.86° | Acc: (-0.30, 0.65, -9.78) m/s² | Gyro: (-0.38, -0.44, -0.03) deg/s"
0.031,"telemetry","packetCounter: 20093 | sampleTimeFine: 8600130 | Roll: 176.18° Pitch: 1.92° Yaw: -166.86° | Acc: (-0.31, 0.65, -9.80) m/s² | Gyro: (0.28, -0.13, -0.09) deg/s"
0.035,"telemetry","packetCounter: 20094 | sampleTimeFine: 8600230 | Roll: 176.18° Pitch: 1.91° Yaw: -166.86° | Acc: (-0.30, 0.64, -9.79) m/s² | Gyro: (-0.42, -0.00, -0.66) deg/s"
0.040,"telemetry","packetCounter: 20095 | sampleTimeFine: 8600330 | Roll: 176.18° Pitch: 1.91° Yaw: -166.86° | Acc: (-0.30, 0.64, -9.79) m/s² | Gyro: (-0.39, -0.28, -0.02) deg/s"
0.044,"telemetry","packetCounter: 20096 | sampleTimeFine: 8600430 | Roll: 176.18° Pitch: 1.91° Yaw: -166.86° | Acc: (-0.31, 0.65, -9.80) m/s² | Gyro: (-0.21, -0.39, -0.23) deg/s"
0.048,"telemetry","packetCounter: 20097 | sampleTimeFine: 8600530 | Roll: 176.18° Pitch: 1.91° Yaw: -166.85° | Acc: (-0.31, 0.64, -9.78) m/s² | Gyro: (-0.01, -0.27, -0.28) deg/s"
0.052,"telemetry","packetCounter: 20098 | sampleTimeFine: 8600630 | Roll: 176.18° Pitch: 1.91° Yaw: -166.85° | Acc: (-0.31, 0.64, -9.79) m/s² | Gyro: (-1.06, -0.15, -0.47) deg/s"
0.057,"telemetry","packetCounter: 20099 | sampleTimeFine: 8600730 | Roll: 176.18° Pitch: 1.92° Yaw: -166.86° | Acc: (-0.30, 0.66, -9.79) m/s² | Gyro: (-0.41, -1.06, 0.17) deg/s"
0.061,"telemetry","packetCounter: 20100 | sampleTimeFine: 8600830 | Roll: 176.18° Pitch: 1.92° Yaw: -166.85° | Acc: (-0.31, 0.64, -9.79) m/s² | Gyro: (0.01, 0.07, -0.49) deg/s"
0.065,"telemetry","packetCounter: 20101 | sampleTimeFine: 8600930 | Roll: 176.18° Pitch: 1.92° Yaw: -166.86° | Acc: (-0.31, 0.65, -9.78) m/s² | Gyro: (-0.02, -0.55, 0.03) deg/s"
0.070,"telemetry","packetCounter: 20102 | sampleTimeFine: 8601030 | Roll: 176.18° Pitch: 1.92° Yaw: -166.86° | Acc: (-0.31, 0.64, -9.80) m/s² | Gyro: (-0.59, 0.36, -0.09) deg/s"
0.074,"telemetry","packetCounter: 20103 | sampleTimeFine: 8601130 | Roll: 176.18° Pitch: 1.92° Yaw: -166.86° | Acc: (-0.30, 0.64, -9.79) m/s² | Gyro: (-0.53, -0.95, -0.03) deg/s"
0.078,"telemetry","packetCounter: 20104 | sampleTimeFine: 8601230 | Roll: 176.19° Pitch: 1.92° Yaw: -166.86° | Acc: (-0.31, 0.64, -9.79) m/s² | Gyro: (0.06, -0.10, -0.16) deg/s"
0.083,"telemetry","packetCounter: 20483 | sampleTimeFine: 8641246 | Acc: (-0.24, 0.47, -7.34) m/s² | Gyro: (-0.18, 0.66, -0.31) deg/s"
0.087,"telemetry","packetCounter: 20484 | sampleTimeFine: 8641346 | Roll: 176.25° Pitch: 1.81° Yaw: 179.88° | Acc: (-0.31, 0.64, -9.79) m/s² | Gyro: (0.13, -0.52, -0.20) deg/s"
0.092,"telemetry","packetCounter: 20485 | sampleTimeFine: 8641446 | Roll: 176.25° Pitch: 1.81° Yaw: 179.88° | Acc: (-0.30, 0.64, -9.78) m/s² | Gyro: (-0.06, -0.18, 0.22) deg/s"
0.096,"telemetry","packetCounter: 20486 | sampleTimeFine: 8641546 | Roll: 176.24° Pitch: 1.81° Yaw: 179.88° | Acc: (-0.31, 0.64, -9.79) m/s² | Gyro: (-0.98, -0.31, 0.06) deg/s"
0.100,"telemetry","packetCounter: 20487 | sampleTimeFine: 8641646 | Roll: 176.23° Pitch: 1.82° Yaw: 179.88° | Acc: (-0.31, 0.64, -9.78) m/s² | Gyro: (-1.05, -0.23, -0.11) deg/s"
0.104,"telemetry","packetCounter: 20488 | sampleTimeFine: 8641746 | Roll: 176.23° Pitch: 1.82° Yaw: 179.88° | Acc: (-0.30, 0.65, -9.79) m/s² | Gyro: (-0.31, -0.26, 0.05) deg/s"
0.109,"telemetry","packetCounter: 20489 | sampleTimeFine: 8641846 | Roll: 176.23° Pitch: 1.82° Yaw: 179.88° | Acc: (-0.31, 0.65, -9.79) m/s² | Gyro: (0.00, -0.15, -0.15) deg/s"
0.113,"telemetry","packetCounter: 20490 | sampleTimeFine: 8641946 | Roll: 176.23° Pitch: 1.82° Yaw: 179.88° | Acc: (-0.30, 0.64, -9.79) m/s² | Gyro: (-0.19, -0.27, 0.02) deg/s"
0.117,"telemetry","packetCounter: 20491 | sampleTimeFine: 8642046 | Roll: 176.22° Pitch: 1.83° Yaw: 179.89° | Acc: (-0.30, 0.63, -9.78) m/s² | Gyro: (-0.58, -0.61, -0.68) deg/s"
0.121,"telemetry","packetCounter: 20492 | sampleTimeFine: 8642146 | Roll: 176.22° Pitch: 1.83° Yaw: 179.89° | Acc: (-0.31, 0.63, -9.79) m/s² | Gyro: (-0.41, -0.31, -0.02) deg/s"
0.126,"telemetry","packetCounter: 20493 | sampleTimeFine: 8642246 | Roll: 176.21° Pitch: 1.83° Yaw: 179.89° | Acc: (-0.31, 0.65, -9.79) m/s² | Gyro: (-0.28, -0.01, -0.68) deg/s"
0.130,"telemetry","packetCounter: 20494 | sampleTimeFine: 8642346 | Roll: 176.21° Pitch: 1.84° Yaw: 179.89° | Acc: (-0.30, 0.64, -9.79) m/s² | Gyro: (-0.67, -0.69, 0.03) deg/s"
0.139,"telemetry","packetCounter: 20495 | sampleTimeFine: 8642446 | Roll: 176.20° Pitch: 1.84° Yaw: 179.90° | Acc: (-0.30, 0.64, -9.79) m/s² | Gyro: (-0.41, -0.49, -0.85) deg/s"
