elapsed_s,prediction,confidence,p_deformed,p_deformed_ema
10.334,0,0.6836,0.3164,0.3164
10.433,0,0.6564,0.4252,0.3436
10.532,0,0.6352,0.4283,0.3648
10.632,0,0.6348,0.3667,0.3652
10.731,0,0.6607,0.2616,0.3393
10.831,0,0.6977,0.1913,0.3023
10.931,0,0.7152,0.2322,0.2848
11.035,0,0.6866,0.3993,0.3134
11.128,0,0.6603,0.4186,0.3397
11.231,0,0.6274,0.4711,0.3726
11.331,0,0.5501,0.6820,0.4499
11.432,1,0.5646,0.9088,0.5646
11.531,1,0.6624,0.9556,0.6624
11.631,1,0.7365,0.9588,0.7365
11.731,1,0.7926,0.9611,0.7926
11.831,1,0.8420,0.9900,0.8420
11.931,1,0.8773,0.9833,0.8773
12.032,1,0.9069,0.9956,0.9069
12.131,1,0.9283,0.9926,0.9283
12.231,1,0.9439,0.9908,0.9439
12.331,1,0.9518,0.9753,0.9518
12.431,1,0.9513,0.9499,0.9513
12.531,1,0.9547,0.9648,0.9547
12.632,1,0.9617,0.9828,0.9617
12.732,1,0.9697,0.9938,0.9697
12.832,1,0.9747,0.9895,0.9747
12.932,1,0.9804,0.9976,0.9804
13.032,1,0.9853,0.9999,0.9853
13.131,1,0.9889,1.0000,0.9889
13.232,1,0.9902,0.9940,0.9902
13.331,1,0.9904,0.9909,0.9904
13.432,1,0.9928,0.9999,0.9928
13.531,1,0.9940,0.9976,0.9940
13.632,1,0.9949,0.9976,0.9949
13.732,1,0.9927,0.9864,0.9927
13.832,1,0.9901,0.9823,0.9901
13.932,1,0.9886,0.9840,0.9886
14.032,1,0.9879,0.9860,0.9879
14.131,1,0.9839,0.9718,0.9839
14.231,1,0.9853,0.9896,0.9853
14.332,1,0.9880,0.9961,0.9880
14.432,1,0.9910,1.0000,0.9910
14.531,1,0.9933,1.0000,0.9933
14.631,1,0.9893,0.9776,0.9893
14.732,1,0.9831,0.9642,0.9831
14.831,1,0.9748,0.9502,0.9748
14.932,1,0.9801,0.9959,0.9801
15.031,1,0.9762,0.9644,0.9762
15.132,1,0.9638,0.9268,0.9638
15.232,1,0.9643,0.9656,0.9643
15.332,1,0.9701,0.9874,0.9701
15.432,1,0.9613,0.9350,0.9613
15.532,1,0.9592,0.9530,0.9592
15.631,1,0.9650,0.9825,0.9650
15.732,1,0.9728,0.9961,0.9728
15.832,1,0.9796,1.0000,0.9796
15.932,1,0.9837,0.9961,0.9837
16.038,1,0.9852,0.9895,0.9852
16.131,1,0.9814,0.9700,0.9814
16.232,1,0.9770,0.9640,0.9770
16.332,1,0.9777,0.9797,0.9777
16.432,1,0.9828,0.9983,0.9828
16.532,1,0.9856,0.9940,0.9856
16.632,1,0.9875,0.9932,0.9875
16.732,1,0.9798,0.9568,0.9798
16.832,1,0.9765,0.9666,0.9765
16.932,1,0.9746,0.9686,0.9746
17.032,1,0.9756,0.9787,0.9756
17.132,1,0.9745,0.9713,0.9745
17.232,1,0.9688,0.9517,0.9688
17.332,1,0.9588,0.9288,0.9588
17.433,1,0.9486,0.9181,0.9486
17.559,1,0.9447,0.9329,0.9447
17.632,1,0.9454,0.9477,0.9454
17.732,1,0.9462,0.9486,0.9462
17.833,1,0.9484,0.9549,0.9484
17.932,1,0.9474,0.9443,0.9474
18.032,1,0.9484,0.9516,0.9484
18.132,1,0.9482,0.9477,0.9482
18.232,1,0.9511,0.9597,0.9511
18.332,1,0.9527,0.9576,0.9527
18.433,1,0.9535,0.9557,0.9535
18.532,1,0.9527,0.9505,0.9527
18.632,1,0.9494,0.9394,0.9494
18.732,1,0.9544,0.9694,0.9544
18.832,1,0.9598,0.9762,0.9598
18.932,1,0.9656,0.9830,0.9656
19.033,1,0.9714,0.9888,0.9714
19.133,1,0.9715,0.9717,0.9715
19.233,1,0.9758,0.9888,0.9758
19.332,1,0.9714,0.9580,0.9714
19.432,1,0.9729,0.9777,0.9729
19.533,1,0.9791,0.9974,0.9791
19.633,1,0.9830,0.9948,0.9830
19.732,1,0.9869,0.9987,0.9869
19.831,1,0.9820,0.9674,0.9820
19.932,1,0.9803,0.9749,0.9803
20.032,1,0.9733,0.9524,0.9733
20.131,1,0.9715,0.9661,0.9715
20.232,1,0.9573,0.9145,0.9573
20.331,1,0.9369,0.8759,0.9369
20.432,1,0.9342,0.9261,0.9342
20.531,1,0.9445,0.9754,0.9445
20.631,1,0.9570,0.9943,0.9570
20.777,1,0.9626,0.9794,0.9626
20.825,1,0.9657,0.9752,0.9657
20.932,1,0.9666,0.9693,0.9666
21.032,1,0.9746,0.9987,0.9746
21.132,1,0.9708,0.9592,0.9708
21.231,1,0.9719,0.9754,0.9719
21.331,1,0.9731,0.9764,0.9731
21.432,1,0.9740,0.9770,0.9740
21.532,1,0.9799,0.9974,0.9799
21.632,1,0.9837,0.9952,0.9837
21.731,1,0.9842,0.9859,0.9842
21.832,1,0.9838,0.9825,0.9838
21.932,1,0.9829,0.9802,0.9829
22.032,1,0.9841,0.9875,0.9841
22.132,1,0.9849,0.9873,0.9849
22.233,1,0.9836,0.9799,0.9836
22.332,1,0.9814,0.9748,0.9814
22.432,1,0.9797,0.9745,0.9797
22.532,1,0.9772,0.9696,0.9772
22.632,1,0.9752,0.9692,0.9752
22.732,1,0.9748,0.9737,0.9748
22.832,1,0.9717,0.9623,0.9717
22.933,1,0.9721,0.9733,0.9721
23.032,1,0.9736,0.9780,0.9736
23.132,1,0.9762,0.9840,0.9762
23.232,1,0.9791,0.9879,0.9791
23.332,1,0.9825,0.9926,0.9825
23.432,1,0.9862,0.9973,0.9862
23.532,1,0.9839,0.9769,0.9839
23.633,1,0.9863,0.9936,0.9863
23.732,1,0.9884,0.9946,0.9884
23.832,1,0.9905,0.9970,0.9905
23.932,1,0.9928,0.9998,0.9928
24.033,1,0.9930,0.9933,0.9930
24.132,1,0.9930,0.9931,0.9930
24.232,1,0.9885,0.9749,0.9885
24.332,1,0.9794,0.9522,0.9794
24.432,1,0.9791,0.9783,0.9791
24.532,1,0.9801,0.9829,0.9801
24.632,1,0.9788,0.9749,0.9788
24.732,1,0.9802,0.9846,0.9802
24.832,1,0.9792,0.9761,0.9792
24.933,1,0.9782,0.9752,0.9782
25.032,1,0.9734,0.9592,0.9734
25.132,1,0.9682,0.9525,0.9682
25.232,1,0.9609,0.9390,0.9609
25.332,1,0.9570,0.9452,0.9570
25.460,1,0.9548,0.9481,0.9548
25.528,1,0.9549,0.9554,0.9549
25.632,1,0.9476,0.9256,0.9476
25.732,1,0.9448,0.9366,0.9448
25.833,1,0.9430,0.9373,0.9430
25.932,1,0.9409,0.9347,0.9409
26.033,1,0.9386,0.9316,0.9386
26.133,1,0.9408,0.9473,0.9408
26.232,1,0.9431,0.9503,0.9431
26.333,1,0.9547,0.9893,0.9547
26.433,1,0.9652,0.9967,0.9652
26.532,1,0.9738,0.9998,0.9738
26.632,1,0.9794,0.9962,0.9794
26.733,1,0.9817,0.9884,0.9817
26.832,1,0.9858,0.9980,0.9858
26.933,1,0.9863,0.9879,0.9863
27.033,1,0.9872,0.9901,0.9872
27.133,1,0.9845,0.9761,0.9845
27.232,1,0.9841,0.9832,0.9841
27.332,1,0.9844,0.9853,0.9844
27.432,1,0.9792,0.9635,0.9792
27.533,1,0.9704,0.9441,0.9704
27.633,1,0.9613,0.9341,0.9613
27.733,1,0.9554,0.9376,0.9554
27.832,1,0.9461,0.9180,0.9461
27.933,1,0.9370,0.9097,0.9370
28.033,1,0.9297,0.9081,0.9297
28.133,1,0.9375,0.9607,0.9375
28.233,1,0.9437,0.9623,0.9437
28.333,1,0.9334,0.9027,0.9334
28.433,1,0.9036,0.8141,0.9036
28.533,1,0.8668,0.7563,0.8668
28.633,1,0.8017,0.6064,0.8017
28.732,1,0.7179,0.4664,0.7179
28.832,1,0.6762,0.5510,0.6762
28.932,1,0.6863,0.7168,0.6863
29.032,1,0.7129,0.7927,0.7129
29.132,1,0.7465,0.8471,0.7465
29.232,1,0.7772,0.8695,0.7772
29.333,1,0.8047,0.8871,0.8047
29.432,1,0.8187,0.8605,0.8187
29.532,1,0.8300,0.8642,0.8300
29.632,1,0.8402,0.8706,0.8402
29.748,1,0.8523,0.8886,0.8523
29.832,1,0.8576,0.8736,0.8576
29.932,1,0.8601,0.8676,0.8601
30.032,1,0.8675,0.8898,0.8675
30.132,1,0.8924,0.9669,0.8924
30.231,1,0.9164,0.9886,0.9164
30.333,1,0.9351,0.9911,0.9351
30.430,1,0.9493,0.9921,0.9493
30.532,1,0.9589,0.9874,0.9589
30.632,1,0.9647,0.9823,0.9647
30.732,1,0.9716,0.9923,0.9716
30.832,1,0.9753,0.9863,0.9753
30.932,1,0.9783,0.9874,0.9783
31.032,1,0.9800,0.9848,0.9800
31.132,1,0.9764,0.9656,0.9764
31.234,1,0.9708,0.9541,0.9708
31.332,1,0.9653,0.9488,0.9653
31.432,1,0.9663,0.9694,0.9663
31.532,1,0.9717,0.9877,0.9717
31.632,1,0.9758,0.9881,0.9758
31.733,1,0.9802,0.9933,0.9802
31.833,1,0.9837,0.9943,0.9837
31.933,1,0.9874,0.9985,0.9874
32.032,1,0.9902,0.9985,0.9902
32.133,1,0.9890,0.9854,0.9890
32.232,1,0.9831,0.9654,0.9831
32.332,1,0.9683,0.9238,0.9683
32.433,1,0.9670,0.9630,0.9670
32.533,1,0.9692,0.9759,0.9692
32.633,1,0.9699,0.9722,0.9699
32.732,1,0.9687,0.9651,0.9687
32.832,1,0.9668,0.9611,0.9668
32.933,1,0.9462,0.8843,0.9462
33.032,1,0.9185,0.8356,0.9185
33.133,1,0.8858,0.7878,0.8858
33.233,1,0.8681,0.8150,0.8681
33.333,1,0.8526,0.8059,0.8526
33.432,1,0.8431,0.8146,0.8431
33.532,1,0.8499,0.8705,0.8499
33.632,1,0.8565,0.8762,0.8565
33.732,1,0.8642,0.8872,0.8642
33.833,1,0.8614,0.8530,0.8614
33.933,1,0.8615,0.8619,0.8615
34.032,1,0.8734,0.9092,0.8734
34.134,1,0.8846,0.9183,0.8846
34.232,1,0.8898,0.9053,0.8898
34.333,1,0.8971,0.9189,0.8971
34.433,1,0.9122,0.9574,0.9122
34.532,1,0.9266,0.9698,0.9266
34.633,1,0.9400,0.9801,0.9400
34.734,1,0.9515,0.9861,0.9515
34.828,1,0.9595,0.9836,0.9595
34.933,1,0.9664,0.9871,0.9664
35.033,1,0.9677,0.9716,0.9677
35.133,1,0.9716,0.9834,0.9716
35.232,1,0.9757,0.9878,0.9757
35.333,1,0.9790,0.9890,0.9790
35.433,1,0.9805,0.9851,0.9805
35.537,1,0.9787,0.9734,0.9787
35.634,1,0.9793,0.9809,0.9793
35.733,1,0.9797,0.9809,0.9797
35.835,1,0.9803,0.9822,0.9803
35.933,1,0.9822,0.9880,0.9822
36.035,1,0.9852,0.9940,0.9852
36.133,1,0.9871,0.9928,0.9871
36.234,1,0.9884,0.9923,0.9884
36.333,1,0.9902,0.9956,0.9902
36.433,1,0.9897,0.9884,0.9897
36.533,1,0.9896,0.9893,0.9896
36.632,1,0.9869,0.9786,0.9869
36.733,1,0.9796,0.9577,0.9796
36.833,1,0.9682,0.9343,0.9682
36.934,1,0.9585,0.9294,0.9585
37.034,1,0.9519,0.9320,0.9519
37.134,1,0.9474,0.9340,0.9474
37.233,1,0.9474,0.9471,0.9474
37.333,1,0.9424,0.9276,0.9424
37.434,1,0.9271,0.8810,0.9271
37.533,1,0.9135,0.8729,0.9135
37.634,1,0.9111,0.9039,0.9111
37.732,1,0.9171,0.9348,0.9171
37.833,1,0.9242,0.9455,0.9242
37.933,1,0.9286,0.9418,0.9286
38.033,1,0.9315,0.9401,0.9315
38.133,1,0.9468,0.9930,0.9468
38.230,1,0.9588,0.9948,0.9588
38.332,1,0.9657,0.9865,0.9657
38.433,1,0.9741,0.9991,0.9741
38.534,1,0.9796,0.9961,0.9796
38.633,1,0.9835,0.9951,0.9835
38.732,1,0.9864,0.9951,0.9864
38.835,1,0.9867,0.9878,0.9867
38.932,1,0.9841,0.9762,0.9841
39.032,1,0.9857,0.9907,0.9857
39.133,1,0.9854,0.9843,0.9854
39.233,1,0.9807,0.9667,0.9807
39.333,1,0.9672,0.9265,0.9672
39.433,1,0.9648,0.9577,0.9648
39.533,1,0.9667,0.9725,0.9667
39.687,1,0.9727,0.9905,0.9727
39.729,1,0.9783,0.9953,0.9783
39.832,1,0.9790,0.9811,0.9790
39.931,1,0.9757,0.9655,0.9757
40.034,1,0.9765,0.9790,0.9765
40.133,1,0.9810,0.9944,0.9810
40.233,1,0.9845,0.9951,0.9845
40.333,1,0.9854,0.9883,0.9854
40.433,1,0.9859,0.9873,0.9859
40.533,1,0.9778,0.9536,0.9778
40.635,1,0.9810,0.9906,0.9810
40.733,1,0.9831,0.9894,0.9831
40.833,1,0.9859,0.9944,0.9859
40.934,1,0.9870,0.9901,0.9870
41.033,1,0.9842,0.9760,0.9842
41.133,1,0.9840,0.9831,0.9840
41.234,1,0.9798,0.9674,0.9798
41.333,1,0.9611,0.9048,0.9611
41.433,1,0.9573,0.9459,0.9573
41.533,1,0.9431,0.9006,0.9431
41.633,1,0.9242,0.8675,0.9242
41.733,1,0.8908,0.7905,0.8908
41.833,1,0.8379,0.6793,0.8379
41.933,1,0.7875,0.6363,0.7875
42.035,1,0.7541,0.6539,0.7541
42.133,1,0.7450,0.7177,0.7450
42.234,1,0.7436,0.7394,0.7436
42.333,1,0.7617,0.8158,0.7617
42.433,1,0.7868,0.8624,0.7868
42.534,1,0.8112,0.8844,0.8112
42.633,1,0.8244,0.8639,0.8244
42.733,1,0.8254,0.8284,0.8254
42.835,1,0.8187,0.7988,0.8187
42.933,1,0.8075,0.7738,0.8075
43.034,1,0.7924,0.7470,0.7924
43.133,1,0.7815,0.7489,0.7815
43.234,1,0.7881,0.8081,0.7881
43.333,1,0.7928,0.8068,0.7928
43.433,1,0.8100,0.8615,0.8100
43.533,1,0.8402,0.9309,0.8402
43.634,1,0.8398,0.8385,0.8398
43.733,1,0.8515,0.8865,0.8515
43.834,1,0.8619,0.8934,0.8619
43.933,1,0.8868,0.9615,0.8868
44.033,1,0.9110,0.9835,0.9110
