elapsed_s,prediction,confidence,p_deformed
1.001,1,1.0000,1.0000
1.102,1,1.0000,1.0000
1.201,0,0.8956,0.1044
1.301,0,0.8956,0.1044
1.401,0,0.8956,0.1044
1.502,0,0.8956,0.1044
1.601,0,0.8956,0.1044
1.701,0,0.8956,0.1044
1.801,0,0.8956,0.1044
1.901,0,0.8956,0.1044
2.001,0,0.8956,0.1044
2.101,0,0.8956,0.1044
2.201,0,0.8956,0.1044
2.301,0,0.8956,0.1044
2.401,0,0.8956,0.1044
2.501,0,0.8956,0.1044
2.602,0,0.8956,0.1044
2.701,0,0.8956,0.1044
2.801,1,0.9180,0.9180
2.901,1,0.9180,0.9180
3.001,1,0.9180,0.9180
3.102,1,0.9180,0.9180
3.201,1,0.9180,0.9180
3.301,0,0.8956,0.1044
3.400,0,0.8956,0.1044
3.501,1,0.9180,0.9180
3.602,1,0.9180,0.9180
3.700,1,0.9180,0.9180
3.801,0,0.8956,0.1044
3.900,0,0.8956,0.1044
4.001,0,0.8956,0.1044
4.101,0,0.8956,0.1044
4.201,0,0.8956,0.1044
4.301,1,0.9180,0.9180
4.401,1,0.9180,0.9180
4.501,1,0.9180,0.9180
4.601,1,0.9180,0.9180
4.701,0,0.7804,0.2196
4.800,0,0.9812,0.0188
4.901,0,0.9812,0.0188
5.001,0,0.9812,0.0188
5.101,0,0.7804,0.2196
5.201,1,0.9180,0.9180
5.301,1,0.9180,0.9180
5.401,1,0.9180,0.9180
5.500,1,0.9180,0.9180
5.601,1,0.9180,0.9180
5.701,1,0.9180,0.9180
5.800,1,0.9180,0.9180
5.900,1,0.9180,0.9180
6.001,0,0.7804,0.2196
6.101,0,0.9812,0.0188
6.201,0,0.9812,0.0188
6.301,0,0.9812,0.0188
6.401,0,0.9812,0.0188
6.501,1,0.5307,0.5307
6.601,0,0.9964,0.0036
6.701,0,0.9964,0.0036
6.801,1,0.4605,0.4605
6.901,1,0.4605,0.4605
7.001,1,0.4605,0.4605
7.101,0,0.7921,0.2079
7.201,0,0.7921,0.2079
7.301,1,0.4605,0.4605
7.401,1,0.4605,0.4605
7.501,0,0.9964,0.0036
7.601,0,0.9964,0.0036
7.701,0,0.9964,0.0036
7.801,0,0.9964,0.0036
7.901,0,0.9964,0.0036
8.001,0,0.9964,0.0036
8.101,0,0.9964,0.0036
8.201,0,0.9964,0.0036
8.301,1,0.4605,0.4605
8.401,1,0.4605,0.4605
8.501,1,0.4605,0.4605
8.601,1,0.4605,0.4605
8.701,1,0.4605,0.4605
