elapsed_s,prediction,confidence,p_deformed,p_deformed_ema
16.711,0,0.5390,0.4605,0.4610
16.811,0,0.5391,0.4605,0.4609
16.911,0,0.5392,0.4605,0.4608
17.010,0,0.5393,0.4605,0.4607
17.111,0,0.5394,0.4605,0.4606
17.211,0,0.5394,0.4605,0.4606
17.311,0,0.5394,0.4605,0.4606
17.411,0,0.5395,0.4605,0.4605
17.511,0,0.5395,0.4605,0.4605
17.611,0,0.5395,0.4605,0.4605
17.710,0,0.5395,0.4605,0.4605
17.810,0,0.5395,0.4605,0.4605
17.910,0,0.5395,0.4605,0.4605
18.010,0,0.5395,0.4605,0.4605
18.110,0,0.5395,0.4605,0.4605
18.210,0,0.5395,0.4605,0.4605
18.310,0,0.5395,0.4605,0.4605
18.410,0,0.5395,0.4605,0.4605
18.510,0,0.5220,0.5307,0.4780
18.610,0,0.5088,0.5307,0.4912
18.710,0,0.5165,0.4605,0.4835
18.810,0,0.5223,0.4605,0.4777
18.910,0,0.5266,0.4605,0.4734
19.010,0,0.5123,0.5307,0.4877
19.110,0,0.5015,0.5307,0.4985
19.210,0,0.4935,0.5307,0.5065
19.310,0,0.5050,0.4605,0.4950
19.410,0,0.5136,0.4605,0.4864
19.510,0,0.5201,0.4605,0.4799
19.610,0,0.5250,0.4605,0.4750
19.710,0,0.5286,0.4605,0.4714
19.810,0,0.5138,0.5307,0.4862
19.910,0,0.5027,0.5307,0.4973
20.010,0,0.4943,0.5307,0.5057
20.110,0,0.6178,0.0118,0.3822
20.211,0,0.7104,0.0118,0.2896
20.310,0,0.7799,0.0118,0.2201
20.409,0,0.8319,0.0118,0.1681
20.509,0,0.8710,0.0118,0.1290
20.610,0,0.9003,0.0118,0.0997
20.711,0,0.9223,0.0118,0.0777
20.810,0,0.9388,0.0118,0.0612
20.910,0,0.9532,0.0036,0.0468
21.010,0,0.9619,0.0118,0.0381
21.110,0,0.9685,0.0118,0.0315
21.209,0,0.9734,0.0118,0.0266
21.310,0,0.9771,0.0118,0.0229
21.410,0,0.9799,0.0118,0.0201
21.510,0,0.9820,0.0118,0.0180
21.610,0,0.9835,0.0118,0.0165
21.710,0,0.9847,0.0118,0.0153
21.810,0,0.9856,0.0118,0.0144
21.910,0,0.9862,0.0118,0.0138
22.010,0,0.9867,0.0118,0.0133
22.110,0,0.9871,0.0118,0.0129
22.210,0,0.9874,0.0118,0.0126
22.310,0,0.9876,0.0118,0.0124
22.410,0,0.9878,0.0118,0.0122
22.510,0,0.9879,0.0118,0.0121
22.610,0,0.9880,0.0118,0.0120
22.711,0,0.9880,0.0118,0.0120
22.810,0,0.9881,0.0118,0.0119
22.910,0,0.9881,0.0118,0.0119
23.010,0,0.8584,0.5307,0.1416
23.110,0,0.7611,0.5307,0.2389
23.211,0,0.7057,0.4605,0.2943
23.310,0,0.6642,0.4605,0.3358
23.411,0,0.6330,0.4605,0.3670
23.510,0,0.7218,0.0118,0.2782
23.610,0,0.7884,0.0118,0.2116
23.711,0,0.8384,0.0118,0.1616
23.810,0,0.7637,0.4605,0.2363
23.910,0,0.7076,0.4605,0.2924
24.010,0,0.6656,0.4605,0.3344
24.110,0,0.6341,0.4605,0.3659
24.210,0,0.6105,0.4605,0.3895
24.310,0,0.5927,0.4605,0.4073
24.410,0,0.5794,0.4605,0.4206
24.510,0,0.5695,0.4605,0.4305
24.610,0,0.5620,0.4605,0.4380
24.710,0,0.5564,0.4605,0.4436
24.810,0,0.6643,0.0118,0.3357
24.910,0,0.6331,0.4605,0.3669
25.009,0,0.6097,0.4605,0.3903
25.110,0,0.5922,0.4605,0.4078
25.210,0,0.5790,0.4605,0.4210
25.310,0,0.5692,0.4605,0.4308
25.410,0,0.5618,0.4605,0.4382
25.511,0,0.5562,0.4605,0.4438
25.611,0,0.6642,0.0118,0.3358
25.711,0,0.7452,0.0118,0.2548
25.810,0,0.6938,0.4605,0.3062
25.911,0,0.6552,0.4605,0.3448
26.010,0,0.6263,0.4605,0.3737
26.110,0,0.6046,0.4605,0.3954
26.210,0,0.5883,0.4605,0.4117
26.310,0,0.5761,0.4605,0.4239
26.410,0,0.5670,0.4605,0.4330
26.510,0,0.5426,0.5307,0.4574
26.610,0,0.5243,0.5307,0.4757
26.710,0,0.5281,0.4605,0.4719
26.809,0,0.5309,0.4605,0.4691
26.909,0,0.5331,0.4605,0.4669
