elapsed_s,prediction,confidence
1.055,1,0.6584
1.148,1,0.6530
1.247,1,0.6541
1.348,1,0.6206
1.448,1,0.6195
1.548,1,0.6225
1.648,1,0.6703
1.748,1,0.6195
1.849,1,0.6089
1.947,1,0.6374
2.047,1,0.6339
2.148,1,0.5986
2.248,1,0.6267
2.351,1,0.6315
2.449,1,0.6172
2.548,1,0.6094
2.648,1,0.5777
2.750,1,0.5511
2.849,1,0.5413
2.948,0,0.6061
3.047,0,0.7726
3.152,0,0.9392
3.248,0,0.9806
3.385,0,0.9940
3.453,0,0.9940
3.550,0,0.9852
3.648,0,0.9876
3.748,0,0.9767
3.849,0,0.9603
3.949,0,0.8809
4.049,0,0.9618
4.149,0,0.9455
4.248,0,0.9624
4.349,0,0.7257
4.448,0,0.5418
4.548,0,0.6081
4.649,0,0.6979
4.782,0,0.7368
4.847,0,0.7938
4.949,0,0.6990
5.049,1,0.5347
5.149,1,0.5051
5.250,0,0.6780
5.348,0,0.7860
5.449,0,0.8945
5.549,0,0.8898
5.650,0,0.9815
5.748,0,0.9847
5.848,0,0.7987
5.951,0,0.6222
6.048,0,0.6302
6.150,0,0.5108
6.248,1,0.7617
6.348,1,0.7898
6.449,1,0.9100
6.548,1,0.7690
6.648,1,0.7735
6.748,1,0.7888
6.848,1,0.7374
6.949,1,0.6032
7.047,0,0.5754
7.150,0,0.5333
7.248,0,0.5183
7.348,1,0.5695
7.449,1,0.7083
7.549,1,0.7300
7.649,1,0.8928
7.752,1,0.9791
7.848,1,0.9707
7.949,1,0.9900
8.049,1,0.9827
8.148,1,0.9778
8.248,1,0.9768
8.347,1,0.9778
8.447,1,0.9647
8.547,1,0.9624
8.648,1,0.9674
8.748,1,0.9556
8.848,1,0.9304
8.947,1,0.9049
9.050,1,0.8738
9.147,1,0.8655
9.250,1,0.9264
9.348,1,0.9588
9.449,1,0.9757
9.548,1,0.9938
9.647,1,0.9881
9.747,1,0.9874
9.849,1,0.9930
9.948,1,0.8630
10.049,1,0.7284
10.219,0,0.6519
10.272,0,0.8976
10.348,0,0.8927
10.450,0,0.8460
10.547,0,0.8192
10.650,0,0.7999
10.747,0,0.7813
10.848,0,0.8540
10.946,0,0.9432
11.050,0,0.9345
11.147,0,0.9270
11.251,0,0.9739
11.347,0,0.9867
11.449,0,0.9759
11.549,0,0.9802
11.649,0,0.9919
11.751,0,0.9494
11.848,0,0.8476
11.951,0,0.7297
12.049,1,0.5093
12.148,1,0.7358
12.248,1,0.9477
12.348,1,0.8713
12.449,1,0.7023
12.548,0,0.6301
12.647,0,0.7724
12.750,0,0.8978
12.849,0,0.8741
12.948,0,0.8474
13.048,0,0.6117
13.148,1,0.7274
13.248,1,0.8381
13.348,1,0.9834
13.450,1,0.9947
13.548,1,0.9884
13.650,1,0.9776
13.749,1,0.9736
13.849,1,0.9638
13.948,1,0.9645
14.048,1,0.9627
14.148,1,0.9814
14.248,1,0.9775
14.351,1,0.9723
14.448,1,0.9837
14.548,1,0.9788
14.649,1,0.9755
14.750,1,0.9644
14.849,1,0.9647
14.952,1,0.9517
15.119,1,0.9135
15.178,1,0.9169
15.250,1,0.8667
15.352,1,0.9272
15.450,1,0.8988
15.548,1,0.9137
15.648,1,0.8554
15.752,1,0.8658
15.849,1,0.8720
15.950,1,0.8760
16.049,1,0.8165
16.149,1,0.7812
16.249,1,0.7784
16.349,1,0.7322
16.450,1,0.5401
16.548,0,0.5574
16.648,0,0.5819
16.750,0,0.6631
16.850,0,0.6755
16.949,0,0.6262
17.049,0,0.6160
17.149,0,0.6355
17.247,0,0.6096
17.347,1,0.6351
17.448,1,0.7481
17.548,1,0.7868
17.648,1,0.8346
17.748,1,0.8329
17.847,1,0.9197
17.947,1,0.9422
18.047,1,0.9259
18.147,1,0.9027
18.249,1,0.9292
18.427,1,0.9310
18.501,1,0.8826
18.555,1,0.8188
18.646,1,0.7451
18.750,1,0.7076
18.848,1,0.6775
18.949,1,0.6326
19.082,1,0.6541
19.148,1,0.6835
19.248,1,0.5491
19.348,1,0.6797
19.450,1,0.7669
19.548,1,0.8319
19.648,1,0.9246
19.749,1,0.9310
19.849,1,0.9251
19.950,1,0.9206
20.052,1,0.9170
20.149,1,0.7755
20.249,1,0.7149
20.349,1,0.7110
20.450,1,0.6177
20.548,1,0.5799
20.648,1,0.5914
20.749,1,0.5271
20.848,0,0.6060
20.951,0,0.6706
21.048,0,0.6704
21.148,0,0.5200
21.239,1,0.6645
21.348,1,0.9483
21.449,1,0.9644
21.548,1,0.9800
21.649,1,0.9613
21.749,1,0.9762
21.849,1,0.9640
21.948,1,0.9049
22.049,1,0.9066
22.149,1,0.9257
22.249,1,0.9392
22.350,1,0.9323
22.449,1,0.9042
22.549,1,0.8870
22.649,1,0.8364
22.748,1,0.8398
22.848,1,0.8691
22.948,1,0.8880
23.048,1,0.8853
23.150,1,0.9359
23.247,1,0.9729
23.348,1,0.9692
23.449,1,0.9909
23.551,1,0.9901
23.648,1,0.9924
23.749,1,0.9737
23.849,1,0.9685
23.948,1,0.9568
24.049,1,0.9669
24.151,1,0.9858
24.247,1,0.9858
24.348,1,0.9811
24.449,1,0.9615
24.549,1,0.9516
24.649,1,0.9269
24.750,1,0.9265
24.851,1,0.9105
24.948,1,0.9475
25.048,1,0.9488
25.148,1,0.9485
25.249,1,0.9373
25.349,1,0.9443
25.449,1,0.8870
25.549,1,0.8418
