elapsed_s,prediction,confidence
1.012,rear_left,0.9713
1.112,front_left,1.0000
1.213,front_left,1.0000
1.312,front_left,1.0000
1.412,normal,1.0000
1.511,normal,1.0000
1.611,normal,1.0000
1.711,front_left,1.0000
1.811,front_right,0.6558
1.910,front_right,0.6558
2.010,front_right,0.6558
2.110,front_right,0.6558
2.210,front_right,0.6558
2.311,normal,1.0000
2.411,normal,1.0000
2.511,normal,1.0000
2.610,normal,1.0000
2.710,normal,1.0000
2.811,normal,1.0000
2.911,normal,1.0000
3.009,front_left,1.0000
3.111,normal,1.0000
3.210,front_left,1.0000
3.311,front_left,1.0000
3.412,front_left,1.0000
3.503,front_left,1.0000
3.612,front_left,1.0000
3.711,front_left,1.0000
3.812,front_left,1.0000
3.911,front_left,1.0000
4.011,front_left,1.0000
4.111,front_left,1.0000
4.214,front_left,1.0000
4.310,front_left,1.0000
4.412,front_left,1.0000
4.511,front_left,1.0000
4.611,front_left,1.0000
4.712,front_left,1.0000
4.812,front_left,1.0000
4.911,front_left,1.0000
5.013,front_left,1.0000
5.109,front_left,1.0000
5.212,front_left,1.0000
5.307,front_left,1.0000
5.412,front_left,1.0000
5.510,front_left,1.0000
5.612,front_left,1.0000
5.711,front_left,1.0000
5.811,front_left,1.0000
5.908,front_left,1.0000
6.014,front_left,1.0000
6.110,front_left,1.0000
6.212,front_left,1.0000
6.310,front_left,1.0000
6.412,front_left,1.0000
6.511,front_left,1.0000
6.613,front_left,1.0000
6.711,front_left,1.0000
6.812,front_left,1.0000
6.912,front_left,1.0000
7.012,front_left,1.0000
7.109,front_left,1.0000
7.203,front_left,1.0000
7.309,front_left,1.0000
7.411,front_left,1.0000
7.511,front_left,1.0000
7.611,front_left,1.0000
7.711,front_left,1.0000
7.811,front_left,1.0000
7.907,front_left,1.0000
8.011,front_left,1.0000
8.111,front_left,1.0000
8.211,front_left,1.0000
8.304,front_left,1.0000
8.411,front_left,1.0000
8.511,front_left,1.0000
8.611,front_left,1.0000
8.711,front_left,1.0000
8.811,front_left,1.0000
8.911,front_left,1.0000
9.011,front_left,1.0000
9.103,front_left,1.0000
9.212,front_left,1.0000
9.303,front_left,1.0000
9.411,front_left,1.0000
9.510,front_left,1.0000
9.612,front_left,1.0000
9.703,front_left,1.0000
9.811,front_left,1.0000
9.911,front_left,1.0000
10.012,rear_left,0.9713
10.109,rear_left,0.9713
10.211,rear_left,0.9713
10.311,front_left,1.0000
10.412,front_left,1.0000
10.509,front_left,1.0000
10.610,front_left,1.0000
10.705,front_left,1.0000
10.810,front_left,1.0000
10.908,front_left,1.0000
11.010,front_left,1.0000
11.110,front_left,1.0000
11.211,front_left,1.0000
11.309,front_left,1.0000
11.411,rear_left,0.7037
11.507,rear_left,0.7037
11.611,front_left,1.0000
11.707,front_left,1.0000
11.811,front_left,1.0000
11.910,front_left,1.0000
12.006,front_left,1.0000
12.103,front_left,1.0000
12.211,front_left,1.0000
12.310,front_left,1.0000
12.411,front_left,1.0000
12.507,front_left,1.0000
12.611,front_left,1.0000
12.708,front_left,1.0000
12.810,front_right,0.5924
12.910,front_right,0.5924
13.011,front_right,0.5924
13.111,front_right,0.5924
13.211,front_left,1.0000
13.311,front_left,1.0000
13.411,front_left,1.0000
13.511,front_left,1.0000
13.611,front_left,1.0000
13.711,front_left,1.0000
13.810,front_left,1.0000
13.911,front_left,1.0000
14.011,front_left,1.0000
14.111,front_left,1.0000
14.211,rear_left,0.7037
14.311,rear_left,0.9713
14.410,rear_left,0.9713
14.511,rear_left,0.9713
14.610,front_left,1.0000
14.710,front_left,1.0000
14.810,front_left,1.0000
14.911,front_left,1.0000
15.011,front_left,1.0000
15.111,front_left,1.0000
15.210,front_left,1.0000
15.311,front_left,1.0000
15.411,front_left,1.0000
15.511,front_left,1.0000
15.611,front_left,1.0000
15.711,rear_left,0.9713
15.810,rear_left,0.9713
15.911,front_right,1.0000
16.011,front_right,1.0000
16.110,front_right,1.0000
16.210,front_right,1.0000
16.309,front_right,0.6558
16.410,front_right,1.0000
16.510,front_right,1.0000
16.611,front_right,1.0000
16.710,front_right,1.0000
16.811,front_right,1.0000
16.911,rear_left,0.7037
17.011,front_left,1.0000
17.111,rear_left,0.7037
17.214,front_left,1.0000
17.303,front_left,1.0000
17.411,front_left,1.0000
17.511,front_left,1.0000
17.612,rear_left,0.7037
17.711,rear_left,0.7037
17.811,rear_left,0.9713
17.911,front_left,1.0000
18.012,front_left,1.0000
18.111,rear_left,0.7037
18.211,rear_left,0.7037
18.311,rear_left,0.7037
18.411,front_left,1.0000
18.511,front_left,1.0000
18.612,rear_left,0.9992
18.711,rear_left,0.9992
18.811,front_left,1.0000
18.911,front_left,1.0000
19.011,front_left,1.0000
19.111,front_left,1.0000
19.211,front_left,1.0000
19.311,front_left,1.0000
19.411,rear_right,1.0000
19.510,rear_right,1.0000
19.610,rear_right,1.0000
19.705,rear_right,1.0000
19.802,rear_right,1.0000
19.910,rear_right,1.0000
20.010,rear_left,0.9992
20.109,rear_left,0.9992
20.211,rear_left,0.9992
20.310,front_right,1.0000
20.410,front_right,1.0000
20.510,normal,1.0000
