elapsed_s,prediction,confidence,p_deformed,p_deformed_ema
10.301,1,0.9986,0.9986,0.9986
10.401,1,0.9986,0.9986,0.9986
10.501,1,0.9986,0.9986,0.9986
10.601,1,0.9986,0.9986,0.9986
10.701,1,0.9986,0.9986,0.9986
10.801,1,0.9986,0.9986,0.9986
10.901,1,0.9986,0.9986,0.9986
11.001,1,0.9986,0.9986,0.9986
11.101,1,0.9986,0.9986,0.9986
11.201,1,0.9986,0.9986,0.9986
11.300,1,0.9986,0.9986,0.9986
11.401,1,0.9986,0.9986,0.9986
11.501,1,0.9986,0.9986,0.9986
11.601,1,0.9986,0.9986,0.9986
11.701,1,0.9915,0.9702,0.9915
11.801,1,0.7437,0.0000,0.7437
11.901,0,0.4423,0.0000,0.5577
12.001,0,0.5817,0.0000,0.4183
12.101,0,0.4363,1.0000,0.5637
12.201,1,0.6728,1.0000,0.6728
12.301,1,0.7546,1.0000,0.7546
12.400,1,0.8159,1.0000,0.8159
12.500,1,0.7465,0.5380,0.7465
12.600,0,0.4384,0.0070,0.5616
12.700,1,0.6712,1.0000,0.6712
12.800,1,0.7534,1.0000,0.7534
12.900,1,0.8150,1.0000,0.8150
13.000,1,0.8609,0.9986,0.8609
13.100,1,0.8954,0.9986,0.8954
13.200,1,0.9215,1.0000,0.9215
13.300,1,0.9408,0.9986,0.9408
13.400,1,0.9553,0.9986,0.9553
13.500,1,0.9661,0.9986,0.9661
13.600,1,0.9742,0.9986,0.9742
13.700,1,0.9803,0.9986,0.9803
13.800,1,0.9849,0.9986,0.9849
13.900,1,0.9883,0.9986,0.9883
14.000,1,0.9909,0.9986,0.9909
14.100,1,0.9928,0.9986,0.9928
14.200,1,0.9943,0.9986,0.9943
14.301,1,0.9954,0.9986,0.9954
14.400,1,0.9962,0.9986,0.9962
14.500,1,0.9897,0.9702,0.9897
14.600,1,0.9848,0.9702,0.9848
14.701,1,0.9812,0.9702,0.9812
14.800,1,0.9785,0.9702,0.9785
14.901,1,0.9764,0.9702,0.9764
15.000,1,0.9820,0.9986,0.9820
15.100,1,0.9861,0.9986,0.9861
15.200,1,0.9893,0.9986,0.9893
15.300,1,0.9916,0.9986,0.9916
15.400,1,0.9934,0.9986,0.9934
15.500,1,0.9947,0.9986,0.9947
15.600,1,0.9957,0.9986,0.9957
15.700,1,0.9964,0.9986,0.9964
15.800,1,0.9970,0.9986,0.9970
15.900,1,0.9974,0.9986,0.9974
16.000,1,0.9977,0.9986,0.9977
16.101,1,0.9979,0.9986,0.9979
16.201,1,0.9981,0.9986,0.9981
16.300,1,0.9982,0.9986,0.9982
16.401,1,0.9983,0.9986,0.9983
16.500,1,0.9984,0.9986,0.9984
16.600,1,0.9985,0.9986,0.9985
16.701,1,0.9985,0.9986,0.9985
16.800,1,0.9985,0.9986,0.9985
16.901,1,0.9986,0.9986,0.9986
17.000,1,0.9986,0.9986,0.9986
17.100,1,0.9986,0.9986,0.9986
17.201,1,0.9986,0.9986,0.9986
17.300,1,0.9986,0.9986,0.9986
17.401,1,0.9915,0.9702,0.9915
17.500,1,0.9862,0.9702,0.9862
17.600,1,0.8742,0.5380,0.8742
17.700,0,0.3426,0.0070,0.6574
17.800,0,0.5052,0.0070,0.4948
17.900,0,0.6272,0.0070,0.3728
18.000,0,0.7187,0.0070,0.2813
18.100,0,0.7873,0.0070,0.2127
18.200,0,0.8387,0.0070,0.1613
18.301,0,0.8773,0.0070,0.1227
18.401,0,0.9062,0.0070,0.0938
18.500,0,0.9279,0.0070,0.0721
18.601,0,0.9442,0.0070,0.0558
18.701,0,0.9564,0.0070,0.0436
18.801,0,0.9656,0.0070,0.0344
18.901,0,0.9724,0.0070,0.0276
19.000,0,0.9776,0.0070,0.0224
19.101,0,0.9815,0.0070,0.0185
19.201,0,0.9844,0.0070,0.0156
19.301,0,0.9865,0.0070,0.0135
19.401,0,0.9882,0.0070,0.0118
19.501,0,0.9742,0.0678,0.0258
19.601,0,0.7619,0.8748,0.2381
