elapsed_s,prediction,confidence,p_deformed,p_deformed_ema
1.053,1,0.7537,0.7537,0.7537
1.141,1,0.7571,0.7670,0.7571
1.241,1,0.7129,0.5803,0.7129
1.341,1,0.6814,0.5869,0.6814
1.441,1,0.6568,0.5832,0.6568
1.541,1,0.6317,0.5563,0.6317
1.641,1,0.6147,0.5638,0.6147
1.741,1,0.6015,0.5619,0.6015
1.840,1,0.5933,0.5685,0.5933
1.941,1,0.5896,0.5787,0.5896
2.040,1,0.5903,0.5923,0.5903
2.141,1,0.5793,0.5463,0.5793
2.241,1,0.5717,0.5489,0.5717
2.341,1,0.5662,0.5499,0.5662
2.441,1,0.5684,0.5748,0.5684
2.538,1,0.5638,0.5499,0.5638
2.641,1,0.5693,0.5861,0.5693
2.742,1,0.5730,0.5840,0.5730
2.841,1,0.5691,0.5576,0.5691
2.941,1,0.5570,0.5207,0.5570
3.041,0,0.4699,0.4495,0.5301
3.141,0,0.5018,0.4024,0.4982
3.241,0,0.5618,0.2583,0.4382
3.354,0,0.6552,0.0645,0.3448
3.440,0,0.7075,0.1357,0.2925
3.541,0,0.7107,0.2798,0.2893
3.641,0,0.7223,0.2427,0.2777
3.742,0,0.7482,0.1743,0.2518
3.842,0,0.7721,0.1561,0.2279
3.941,0,0.7444,0.3388,0.2556
4.042,0,0.7346,0.2948,0.2654
4.141,0,0.7430,0.2316,0.2570
4.242,0,0.7562,0.2045,0.2438
4.341,0,0.7993,0.0711,0.2007
4.441,0,0.8399,0.0385,0.1601
4.541,0,0.8385,0.1655,0.1615
4.638,0,0.8107,0.2729,0.1893
4.741,0,0.7848,0.2929,0.2152
4.841,0,0.8246,0.0560,0.1754
4.941,0,0.8588,0.0384,0.1412
5.042,0,0.8694,0.0987,0.1306
5.140,0,0.8442,0.2314,0.1558
5.241,0,0.8163,0.2676,0.1837
5.340,0,0.8160,0.1850,0.1840
5.440,0,0.8228,0.1566,0.1772
5.543,0,0.8268,0.1614,0.1732
5.641,0,0.8176,0.2100,0.1824
5.740,0,0.7872,0.3039,0.2128
5.840,0,0.7862,0.2169,0.2138
5.940,0,0.8171,0.0902,0.1829
6.040,0,0.8350,0.1111,0.1650
6.140,0,0.8141,0.2489,0.1859
6.242,0,0.7907,0.2795,0.2093
6.337,0,0.7890,0.2161,0.2110
6.441,0,0.8101,0.1264,0.1899
6.540,0,0.8362,0.0854,0.1638
6.641,0,0.8622,0.0599,0.1378
6.740,0,0.8814,0.0611,0.1186
6.840,0,0.8561,0.2196,0.1439
6.941,0,0.7834,0.4346,0.2166
7.041,0,0.7149,0.4909,0.2851
7.140,0,0.6500,0.5445,0.3500
7.241,0,0.5806,0.6277,0.4194
7.340,0,0.6125,0.2917,0.3875
7.440,0,0.6007,0.4346,0.3993
7.545,0,0.5796,0.4840,0.4204
7.640,0,0.5625,0.4888,0.4375
7.740,0,0.5679,0.4159,0.4321
7.841,0,0.6088,0.2683,0.3912
