elapsed_s,prediction,confidence,p_deformed
0.992,1,1.0000,1.0000
1.092,1,1.0000,1.0000
1.192,0,0.8956,0.1044
1.292,0,0.8956,0.1044
1.392,0,0.8956,0.1044
1.491,0,0.8956,0.1044
1.592,0,0.8956,0.1044
1.692,0,0.8956,0.1044
1.792,0,0.8956,0.1044
1.892,0,0.8956,0.1044
1.991,0,0.8956,0.1044
2.092,0,0.8956,0.1044
2.192,0,0.8956,0.1044
2.292,0,0.8956,0.1044
2.391,0,0.8956,0.1044
2.491,0,0.8956,0.1044
2.591,0,0.8956,0.1044
2.691,0,0.8956,0.1044
2.791,0,0.8956,0.1044
2.891,0,0.8956,0.1044
2.991,0,0.8956,0.1044
3.091,0,0.8956,0.1044
3.191,0,0.8956,0.1044
3.291,0,0.8956,0.1044
3.391,0,0.8956,0.1044
3.491,0,0.8956,0.1044
3.591,1,0.9180,0.9180
3.692,1,0.9180,0.9180
3.791,1,0.9180,0.9180
3.891,1,0.9180,0.9180
3.991,0,0.8956,0.1044
4.091,0,0.9812,0.0188
4.191,0,0.9812,0.0188
4.291,0,0.7804,0.2196
4.391,0,0.7804,0.2196
4.491,0,0.7804,0.2196
4.591,0,0.7804,0.2196
4.691,1,0.3179,0.3179
4.791,0,0.9964,0.0036
4.891,0,0.9964,0.0036
4.991,0,0.9812,0.0188
5.091,0,0.7804,0.2196
5.191,0,0.7804,0.2196
5.291,0,0.7804,0.2196
5.391,0,0.7804,0.2196
5.491,0,0.7804,0.2196
5.591,0,0.9812,0.0188
5.691,0,0.9812,0.0188
5.791,0,0.9812,0.0188
5.891,0,0.9812,0.0188
5.991,0,0.9812,0.0188
6.091,0,0.9812,0.0188
6.191,0,0.9812,0.0188
6.291,0,0.9812,0.0188
6.391,0,0.7804,0.2196
6.491,0,0.7804,0.2196
6.591,0,0.7804,0.2196
6.691,0,0.7804,0.2196
6.791,1,0.3179,0.3179
6.891,1,0.3179,0.3179
6.991,0,0.9812,0.0188
7.091,0,0.9812,0.0188
7.191,1,0.3179,0.3179
7.291,0,0.7804,0.2196
7.391,1,0.9180,0.9180
7.491,1,0.9180,0.9180
7.591,1,0.9180,0.9180
7.691,1,0.9180,0.9180
7.791,1,0.9180,0.9180
7.891,1,0.9180,0.9180
7.991,0,0.8956,0.1044
8.091,0,0.9812,0.0188
8.191,0,0.9812,0.0188
8.291,0,0.9812,0.0188
8.391,1,0.9180,0.9180
8.491,0,0.8956,0.1044
8.592,0,0.8956,0.1044
8.691,0,0.8956,0.1044
8.791,0,0.8956,0.1044
8.891,0,0.8956,0.1044
8.991,0,0.8956,0.1044
9.090,0,0.8956,0.1044
9.191,0,0.8956,0.1044
9.291,0,0.8956,0.1044
9.391,1,0.9180,0.9180
9.491,1,0.9180,0.9180
9.591,1,0.9180,0.9180
9.691,1,0.9180,0.9180
9.791,1,0.9180,0.9180
9.891,0,0.7804,0.2196
9.991,0,0.9964,0.0036
10.091,0,0.9964,0.0036
10.191,0,0.9812,0.0188
10.291,0,0.7804,0.2196
10.391,1,0.9180,0.9180
10.491,1,0.9180,0.9180
10.591,1,0.9180,0.9180
10.691,1,0.9180,0.9180
10.791,0,0.8956,0.1044
10.891,0,0.8956,0.1044
10.991,0,0.8956,0.1044
11.091,0,0.8956,0.1044
11.191,0,0.8956,0.1044
11.291,1,0.9180,0.9180
11.391,1,0.9180,0.9180
11.490,1,0.9180,0.9180
11.591,1,0.9180,0.9180
11.691,0,0.7804,0.2196
11.790,0,0.7804,0.2196
11.890,0,0.7804,0.2196
11.991,0,0.9812,0.0188
12.091,0,0.7804,0.2196
12.190,1,0.9180,0.9180
12.290,1,0.9180,0.9180
12.391,1,0.9180,0.9180
12.490,1,0.9180,0.9180
12.591,1,0.9180,0.9180
12.690,0,0.9812,0.0188
12.790,1,0.9180,0.9180
12.890,1,0.9180,0.9180
12.990,1,0.9180,0.9180
13.090,1,0.9180,0.9180
13.191,0,0.8956,0.1044
13.290,1,0.9180,0.9180
13.391,1,0.9180,0.9180
13.490,1,0.9180,0.9180
13.591,1,0.9180,0.9180
13.691,0,0.7804,0.2196
13.790,1,0.3179,0.3179
13.891,0,0.7804,0.2196
13.990,1,0.9180,0.9180
14.091,1,0.9180,0.9180
14.190,1,0.9180,0.9180
14.291,1,0.9180,0.9180
14.391,1,0.9180,0.9180
14.491,1,0.9180,0.9180
14.591,1,0.9180,0.9180
14.691,0,0.8956,0.1044
14.791,0,0.8956,0.1044
14.891,1,0.9180,0.9180
14.991,1,0.9180,0.9180
15.091,1,0.9180,0.9180
15.191,1,0.9180,0.9180
15.291,0,0.8956,0.1044
15.391,0,0.8956,0.1044
15.491,0,0.8956,0.1044
15.591,0,0.9812,0.0188
15.691,0,0.9812,0.0188
15.791,0,0.9812,0.0188
15.891,1,0.9180,0.9180
15.991,1,0.9180,0.9180
16.091,1,0.9180,0.9180
16.191,0,0.7804,0.2196
16.291,0,0.9812,0.0188
16.391,0,0.7804,0.2196
16.491,0,0.7804,0.2196
16.591,0,0.7804,0.2196
16.691,0,0.7804,0.2196
16.791,0,0.9812,0.0188
16.890,0,0.8956,0.1044
16.991,1,0.9180,0.9180
17.091,1,0.9180,0.9180
17.191,1,0.9180,0.9180
17.291,1,0.9180,0.9180
17.391,1,0.9180,0.9180
17.491,0,0.8956,0.1044
17.591,1,0.9180,0.9180
17.691,1,0.9180,0.9180
17.791,1,0.9180,0.9180
17.891,1,0.9180,0.9180
17.991,1,0.9180,0.9180
18.091,0,0.9812,0.0188
18.191,0,0.9812,0.0188
18.291,0,0.9812,0.0188
18.391,0,0.9812,0.0188
18.491,0,0.7804,0.2196
18.591,1,0.9180,0.9180
18.691,1,0.9180,0.9180
18.791,1,0.9180,0.9180
18.891,1,0.9180,0.9180
18.991,0,0.8956,0.1044
19.091,0,0.8956,0.1044
19.191,0,0.8956,0.1044
19.291,0,0.8956,0.1044
19.391,0,0.8956,0.1044
19.491,0,0.8956,0.1044
19.591,0,0.9812,0.0188
19.691,0,0.9812,0.0188
19.791,0,0.9812,0.0188
19.891,0,0.7804,0.2196
19.991,0,0.7804,0.2196
20.091,0,0.7804,0.2196
20.191,0,0.7804,0.2196
20.291,0,0.9964,0.0036
20.390,0,0.7804,0.2196
20.490,1,0.9180,0.9180
20.590,1,0.9180,0.9180
20.690,1,0.9180,0.9180
20.790,1,0.9180,0.9180
20.890,0,0.8956,0.1044
20.990,1,0.9180,0.9180
21.090,1,0.9180,0.9180
21.190,1,0.9180,0.9180
21.290,1,0.9180,0.9180
21.390,0,0.7804,0.2196
21.490,0,0.9812,0.0188
21.590,0,0.7804,0.2196
21.689,0,0.7804,0.2196
21.790,0,0.7804,0.2196
21.890,0,0.7804,0.2196
21.990,0,0.7804,0.2196
22.090,0,0.7804,0.2196
22.191,0,0.7804,0.2196
22.290,0,0.9812,0.0188
22.391,1,0.9180,0.9180
22.490,1,0.9180,0.9180
22.590,1,0.9180,0.9180
22.690,1,0.9180,0.9180
22.790,1,0.9180,0.9180
22.891,0,0.8956,0.1044
22.990,1,0.9180,0.9180
23.090,1,0.9180,0.9180
23.191,1,0.9180,0.9180
23.291,0,0.8956,0.1044
23.391,0,0.8956,0.1044
23.490,1,0.9180,0.9180
23.591,1,0.9180,0.9180
23.690,1,0.9180,0.9180
23.791,1,0.9180,0.9180
23.891,1,0.9180,0.9180
23.991,1,0.9180,0.9180
24.090,0,0.9812,0.0188
24.191,0,0.9812,0.0188
24.291,0,0.9812,0.0188
24.391,0,0.9812,0.0188
24.491,0,0.9812,0.0188
24.591,1,0.9180,0.9180
24.691,1,0.9180,0.9180
24.791,1,0.9180,0.9180
24.891,1,0.9180,0.9180
24.991,0,0.8956,0.1044
25.091,0,0.8956,0.1044
25.191,0,0.8956,0.1044
