elapsed_s,prediction,confidence
1.027,normal,0.7905
1.125,normal,0.8126
1.225,normal,0.8362
1.324,normal,0.9308
1.425,normal,0.9225
1.526,normal,0.9081
1.625,normal,0.8988
1.725,normal,0.8823
1.825,normal,0.8873
1.926,normal,0.8887
2.025,normal,0.8685
2.125,normal,0.8824
2.224,normal,0.8967
2.324,normal,0.8807
2.424,normal,0.8807
2.524,normal,0.8731
2.625,normal,0.8807
2.726,normal,0.9037
2.825,normal,0.9037
2.926,normal,0.9037
3.025,normal,0.9092
3.125,normal,0.9309
3.223,normal,0.9242
3.365,normal,0.9242
3.428,normal,0.9159
3.516,normal,0.8960
3.624,normal,0.8862
3.721,normal,0.8690
3.825,normal,0.9010
3.920,normal,0.8807
4.026,normal,0.8983
4.131,normal,0.9308
4.224,normal,0.9308
4.322,normal,0.9225
4.424,normal,0.9225
4.522,normal,0.9308
4.624,normal,0.9225
4.734,normal,0.9026
4.824,normal,0.8971
4.922,normal,0.9081
5.024,normal,0.9291
5.123,normal,0.9225
5.221,normal,0.8972
5.322,normal,0.9000
5.425,normal,0.9122
5.524,normal,0.8940
5.624,normal,0.9050
5.720,normal,0.9221
5.824,normal,0.9221
5.919,normal,0.9304
6.025,normal,0.9422
6.133,normal,0.9422
6.224,normal,0.9375
6.315,normal,0.9081
6.425,normal,0.8944
6.522,normal,0.8830
6.624,normal,0.8803
6.720,normal,0.8717
6.824,normal,0.8558
6.922,normal,0.8697
7.024,normal,0.8646
7.133,normal,0.8656
7.224,normal,0.8665
7.323,normal,0.7688
7.424,normal,0.7573
7.590,normal,0.8196
7.621,normal,0.8422
7.716,normal,0.8808
7.826,normal,0.8753
7.922,normal,0.7970
8.025,normal,0.7385
8.122,normal,0.7611
8.223,normal,0.7249
8.324,normal,0.7120
8.423,normal,0.6957
8.524,normal,0.7130
8.623,normal,0.6567
8.724,normal,0.7213
8.824,normal,0.7567
8.926,normal,0.7636
9.025,normal,0.7806
9.124,normal,0.8648
9.224,normal,0.8619
9.322,normal,0.8648
9.424,normal,0.8582
9.523,normal,0.8582
9.624,normal,0.8534
9.726,normal,0.8580
9.823,normal,0.8740
9.923,normal,0.8644
10.024,normal,0.8834
10.123,normal,0.8563
10.222,normal,0.8770
10.335,normal,0.8910
10.425,normal,0.9308
10.522,normal,0.9308
10.624,normal,0.9375
10.724,normal,0.9291
10.825,normal,0.9114
10.926,normal,0.8893
11.022,normal,0.9020
11.122,normal,0.9020
11.270,normal,0.8590
11.320,normal,0.8360
11.415,normal,0.8454
11.537,normal,0.8248
11.625,normal,0.7031
11.725,normal,0.6611
11.825,normal,0.6389
11.917,normal,0.5524
12.024,front_right,0.4862
12.125,normal,0.4884
12.225,normal,0.5119
12.323,normal,0.5259
12.425,normal,0.6016
12.525,normal,0.5784
12.624,normal,0.4991
12.725,normal,0.4893
12.825,normal,0.5329
12.918,normal,0.5184
13.025,normal,0.5745
13.124,normal,0.6213
13.224,normal,0.6023
13.323,normal,0.6021
13.424,normal,0.5963
13.524,normal,0.6521
13.623,normal,0.6658
13.724,normal,0.7230
13.823,normal,0.7684
13.925,normal,0.7916
14.023,normal,0.7988
14.124,normal,0.8214
14.222,normal,0.8179
14.323,normal,0.8308
14.424,normal,0.8309
14.522,normal,0.8029
14.624,normal,0.8160
14.724,normal,0.7600
14.823,normal,0.7155
14.922,normal,0.6885
15.024,normal,0.6865
15.123,normal,0.6393
15.222,normal,0.6392
15.323,normal,0.6203
15.424,normal,0.6312
15.524,normal,0.6705
15.624,normal,0.5838
15.723,normal,0.5986
15.823,normal,0.6397
15.925,normal,0.7207
16.024,normal,0.7870
16.124,normal,0.7807
16.224,normal,0.7325
16.321,normal,0.7492
16.423,normal,0.7688
16.523,normal,0.7809
16.623,normal,0.7049
16.724,normal,0.6532
16.823,normal,0.6358
16.923,normal,0.6116
17.023,normal,0.5956
17.124,normal,0.6578
17.223,normal,0.6616
17.323,normal,0.6606
17.424,normal,0.5958
17.523,normal,0.5941
17.624,normal,0.5992
17.724,normal,0.6123
17.823,normal,0.6384
17.924,normal,0.6080
18.024,normal,0.6067
18.125,normal,0.6350
18.224,normal,0.6485
18.324,normal,0.6202
18.423,normal,0.6650
18.524,normal,0.7548
18.624,normal,0.8214
18.724,normal,0.8222
18.824,normal,0.8474
18.923,normal,0.8435
19.024,normal,0.8164
19.124,normal,0.8137
19.224,normal,0.7800
19.324,normal,0.8059
19.423,normal,0.7984
19.525,normal,0.7417
19.623,normal,0.7176
19.723,normal,0.7300
19.823,normal,0.7445
19.924,normal,0.7281
20.023,normal,0.7264
20.124,normal,0.7205
20.221,normal,0.7459
20.324,normal,0.7154
20.423,normal,0.7562
20.524,normal,0.8324
20.624,normal,0.8686
20.724,normal,0.8682
20.824,normal,0.8682
20.924,normal,0.8738
21.023,normal,0.8578
21.123,normal,0.8578
21.222,normal,0.8578
21.324,normal,0.8745
21.423,normal,0.8754
21.524,normal,0.8836
21.623,normal,0.8673
21.724,normal,0.8412
21.824,normal,0.8337
21.925,normal,0.8986
22.023,normal,0.9094
22.123,normal,0.9204
22.223,normal,0.9148
22.352,normal,0.9375
22.427,normal,0.9375
22.514,normal,0.9375
22.634,normal,0.9375
22.720,normal,0.9375
22.823,normal,0.9375
22.918,normal,0.9422
23.023,normal,0.9422
23.117,normal,0.9422
23.223,normal,0.9422
23.320,normal,0.9422
23.423,normal,0.9339
23.523,normal,0.9422
23.623,normal,0.9422
23.723,normal,0.9422
23.821,normal,0.9422
23.916,normal,0.9308
24.023,normal,0.9231
24.123,normal,0.9165
24.223,normal,0.9081
24.314,normal,0.9011
24.424,normal,0.9094
24.520,normal,0.9238
24.623,normal,0.9238
24.716,normal,0.9011
24.823,normal,0.9067
24.918,normal,0.8983
25.024,normal,0.8928
25.122,normal,0.8773
25.223,normal,0.8375
25.323,normal,0.8168
25.424,normal,0.8189
25.514,normal,0.8035
25.623,normal,0.8152
25.724,normal,0.8393
25.822,normal,0.8460
25.916,normal,0.8566
