elapsed_s,prediction,confidence,p_deformed
1.001,1,1.0000,1.0000
1.101,1,1.0000,1.0000
1.201,0,0.8956,0.1044
1.301,0,0.8956,0.1044
1.400,0,0.8956,0.1044
1.500,0,0.8956,0.1044
1.601,0,0.8956,0.1044
1.701,0,0.8956,0.1044
1.801,0,0.8956,0.1044
1.901,0,0.8956,0.1044
2.001,0,0.8956,0.1044
2.101,0,0.8956,0.1044
2.201,0,0.8956,0.1044
2.301,0,0.8956,0.1044
2.401,0,0.8956,0.1044
2.501,0,0.8956,0.1044
2.601,0,0.8956,0.1044
2.701,0,0.8956,0.1044
2.801,0,0.8956,0.1044
2.901,0,0.8956,0.1044
3.001,0,0.8956,0.1044
3.101,0,0.8956,0.1044
3.201,0,0.8956,0.1044
3.301,0,0.8956,0.1044
3.401,0,0.8956,0.1044
3.501,0,0.8956,0.1044
3.601,0,0.8956,0.1044
3.701,0,0.8956,0.1044
3.801,0,0.8956,0.1044
3.901,0,0.8956,0.1044
4.001,0,0.8956,0.1044
4.101,0,0.8956,0.1044
4.201,0,0.8956,0.1044
4.301,0,0.8956,0.1044
4.401,0,0.8956,0.1044
4.501,0,0.8956,0.1044
4.601,0,0.8956,0.1044
4.700,0,0.8956,0.1044
4.801,0,0.8956,0.1044
4.900,0,0.8956,0.1044
5.000,0,0.8956,0.1044
5.101,0,0.8956,0.1044
5.201,0,0.8956,0.1044
5.301,0,0.8956,0.1044
5.401,0,0.8956,0.1044
5.501,0,0.8956,0.1044
5.601,0,0.8956,0.1044
5.702,0,0.8956,0.1044
5.800,0,0.8956,0.1044
5.900,0,0.8956,0.1044
6.001,0,0.8956,0.1044
6.101,0,0.8956,0.1044
6.202,0,0.8956,0.1044
6.301,0,0.8956,0.1044
6.401,0,0.8956,0.1044
6.502,0,0.8956,0.1044
6.601,0,0.8956,0.1044
6.701,0,0.8956,0.1044
6.801,0,0.8956,0.1044
6.902,0,0.8956,0.1044
7.001,0,0.8956,0.1044
7.102,0,0.8956,0.1044
7.202,0,0.8956,0.1044
7.301,0,0.8956,0.1044
7.402,0,0.8956,0.1044
7.502,0,0.8956,0.1044
7.601,0,0.8956,0.1044
7.701,0,0.8956,0.1044
7.800,0,0.8956,0.1044
7.901,0,0.8956,0.1044
8.001,0,0.8956,0.1044
8.101,0,0.8956,0.1044
8.200,0,0.8956,0.1044
8.300,0,0.8956,0.1044
8.401,0,0.8956,0.1044
8.501,0,0.8956,0.1044
8.601,0,0.8956,0.1044
8.701,0,0.8956,0.1044
8.801,0,0.8956,0.1044
8.900,0,0.8956,0.1044
9.001,0,0.8956,0.1044
9.101,0,0.8956,0.1044
9.201,0,0.8956,0.1044
9.301,0,0.8956,0.1044
9.401,0,0.8956,0.1044
9.501,0,0.8956,0.1044
9.601,0,0.8956,0.1044
9.701,0,0.8956,0.1044
9.801,0,0.8956,0.1044
9.901,0,0.8956,0.1044
10.001,0,0.8956,0.1044
10.101,0,0.8956,0.1044
10.201,0,0.8956,0.1044
10.301,0,0.8956,0.1044
10.401,0,0.8956,0.1044
10.501,0,0.8956,0.1044
10.601,0,0.8956,0.1044
10.701,0,0.8956,0.1044
10.801,0,0.8956,0.1044
