time_seconds,type,message
0.089,"telemetry","packetCounter: 61335 | sampleTimeFine: 12736823 | Roll: 178.77° Pitch: 1.53° Yaw: 180.00° | Acc: (-0.16, 0.04, -9.86) m/s² | Gyro: (0.38, 0.06, -0.26) deg/s"
0.099,"telemetry","packetCounter: 61336 | sampleTimeFine: 12736923 | Roll: 178.76° Pitch: 1.53° Yaw: -179.99° | Acc: (-0.22, 0.03, -9.84) m/s² | Gyro: (-1.30, 0.71, -1.05) deg/s"
0.109,"telemetry","packetCounter: 61337 | sampleTimeFine: 12737023 | Roll: 178.77° Pitch: 1.54° Yaw: -179.99° | Acc: (-0.09, 0.11, -9.83) m/s² | Gyro: (0.54, -0.29, -0.38) deg/s"
0.119,"telemetry","packetCounter: 61338 | sampleTimeFine: 12737123 | Roll: 178.77° Pitch: 1.53° Yaw: -179.99° | Acc: (-0.13, 0.12, -9.86) m/s² | Gyro: (-0.61, 0.46, -0.39) deg/s"
0.129,"telemetry","packetCounter: 61339 | sampleTimeFine: 12737223 | Roll: 178.78° Pitch: 1.52° Yaw: -179.98° | Acc: (-0.07, 0.22, -9.76) m/s² | Gyro: (0.40, 0.92, -0.35) deg/s"
0.139,"telemetry","packetCounter: 61340 | sampleTimeFine: 12737323 | Roll: 178.77° Pitch: 1.51° Yaw: -179.97° | Acc: (-0.22, 0.03, -9.79) m/s² | Gyro: (-0.54, 0.34, -0.83) deg/s"
0.149,"telemetry","packetCounter: 61341 | sampleTimeFine: 12737423 | Roll: 178.77° Pitch: 1.50° Yaw: -179.97° | Acc: (-0.14, 0.30, -9.83) m/s² | Gyro: (-0.98, 0.31, -0.36) deg/s"
0.159,"telemetry","packetCounter: 61342 | sampleTimeFine: 12737523 | Roll: 178.75° Pitch: 1.51° Yaw: -179.97° | Acc: (-0.21, 0.06, -9.77) m/s² | Gyro: (-0.54, -1.16, 0.22) deg/s"
0.169,"telemetry","packetCounter: 61343 | sampleTimeFine: 12737623 | Roll: 178.73° Pitch: 1.52° Yaw: -179.97° | Acc: (-0.19, 0.17, -9.79) m/s² | Gyro: (-2.31, 0.33, 0.12) deg/s"
0.179,"telemetry","packetCounter: 61344 | sampleTimeFine: 12737723 | Roll: 178.72° Pitch: 1.53° Yaw: -179.97° | Acc: (-0.22, 0.08, -9.86) m/s² | Gyro: (-0.24, -1.34, -0.22) deg/s"
0.189,"telemetry","packetCounter: 61345 | sampleTimeFine: 12737823 | Roll: 178.71° Pitch: 1.54° Yaw: -179.97° | Acc: (-0.10, 0.12, -9.83) m/s² | Gyro: (-1.46, 0.07, 0.22) deg/s"
0.199,"telemetry","packetCounter: 61346 | sampleTimeFine: 12737923 | Roll: 178.72° Pitch: 1.54° Yaw: -179.98° | Acc: (-0.14, 0.13, -9.79) m/s² | Gyro: (0.55, -1.34, 0.22) deg/s"
0.209,"telemetry","packetCounter: 61347 | sampleTimeFine: 12738023 | Roll: 178.72° Pitch: 1.54° Yaw: -179.97° | Acc: (-0.19, 0.06, -9.76) m/s² | Gyro: (-0.36, -0.15, -0.84) deg/s"
0.219,"telemetry","packetCounter: 61348 | sampleTimeFine: 12738123 | Roll: 178.73° Pitch: 1.56° Yaw: -179.96° | Acc: (-0.17, 0.23, -9.80) m/s² | Gyro: (0.59, -2.22, -0.10) deg/s"
0.229,"telemetry","packetCounter: 61349 | sampleTimeFine: 12738223 | Roll: 178.72° Pitch: 1.56° Yaw: -179.96° | Acc: (-0.19, 0.12, -9.88) m/s² | Gyro: (-0.73, 0.27, -0.42) deg/s"
0.239,"telemetry","packetCounter: 61350 | sampleTimeFine: 12738323 | Roll: 178.71° Pitch: 1.58° Yaw: -179.96° | Acc: (-0.07, 0.26, -9.83) m/s² | Gyro: (-0.52, -1.82, -0.33) deg/s"
